"",BBDE1.M.DE.Y.BAA1.N2B060000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.N2B060000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / 06 Extraction of crude petroleum and natural gas / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:45,
1991-01,142.1,
1991-02,158.6,
1991-03,154.4,
1991-04,178.3,
1991-05,178.3,
1991-06,137.0,
1991-07,147.7,
1991-08,159.1,
1991-09,157.0,
1991-10,153.6,
1991-11,165.4,
1991-12,153.0,
1992-01,156.9,
1992-02,164.3,
1992-03,163.0,
1992-04,180.9,
1992-05,153.2,
1992-06,155.0,
1992-07,166.4,
1992-08,152.0,
1992-09,154.3,
1992-10,166.4,
1992-11,145.6,
1992-12,151.0,
1993-01,164.5,
1993-02,160.7,
1993-03,171.5,
1993-04,140.7,
1993-05,143.7,
1993-06,160.0,
1993-07,166.3,
1993-08,161.6,
1993-09,149.7,
1993-10,163.0,
1993-11,159.0,
1993-12,160.0,
1994-01,168.7,
1994-02,180.2,
1994-03,171.1,
1994-04,156.2,
1994-05,163.1,
1994-06,159.0,
1994-07,154.6,
1994-08,158.3,
1994-09,165.7,
1994-10,148.3,
1994-11,160.0,
1994-12,171.7,
1995-01,164.3,
1995-02,155.1,
1995-03,176.3,
1995-04,175.7,
1995-05,188.2,
1995-06,188.0,
1995-07,172.2,
1995-08,179.3,
1995-09,184.7,
1995-10,141.2,
1995-11,170.1,
1995-12,178.1,
1996-01,182.6,
1996-02,185.4,
1996-03,192.3,
1996-04,184.7,
1996-05,197.9,
1996-06,179.0,
1996-07,169.7,
1996-08,178.4,
1996-09,203.8,
1996-10,174.4,
1996-11,195.5,
1996-12,181.9,
1997-01,187.1,
1997-02,182.1,
1997-03,180.3,
1997-04,174.6,
1997-05,183.8,
1997-06,168.7,
1997-07,174.4,
1997-08,181.2,
1997-09,175.0,
1997-10,190.6,
1997-11,187.1,
1997-12,185.2,
1998-01,183.1,
1998-02,173.2,
1998-03,174.6,
1998-04,185.4,
1998-05,160.7,
1998-06,179.1,
1998-07,178.1,
1998-08,171.3,
1998-09,160.5,
1998-10,171.1,
1998-11,184.5,
1998-12,203.0,
1999-01,194.6,
1999-02,187.1,
1999-03,191.7,
1999-04,200.3,
1999-05,178.3,
1999-06,179.5,
1999-07,206.4,
1999-08,163.5,
1999-09,152.7,
1999-10,211.8,
1999-11,217.7,
1999-12,210.1,
2000-01,181.7,
2000-02,181.9,
2000-03,161.6,
2000-04,166.1,
2000-05,165.7,
2000-06,177.2,
2000-07,167.8,
2000-08,170.3,
2000-09,164.0,
2000-10,193.9,
2000-11,211.8,
2000-12,200.7,
2001-01,182.4,
2001-02,189.9,
2001-03,177.6,
2001-04,178.8,
2001-05,154.1,
2001-06,187.0,
2001-07,185.9,
2001-08,187.3,
2001-09,206.8,
2001-10,183.1,
2001-11,176.0,
2001-12,184.9,
2002-01,181.4,
2002-02,176.3,
2002-03,198.6,
2002-04,194.8,
2002-05,190.6,
2002-06,182.8,
2002-07,158.1,
2002-08,175.7,
2002-09,204.9,
2002-10,195.1,
2002-11,202.4,
2002-12,186.8,
2003-01,196.9,
2003-02,199.3,
2003-03,200.7,
2003-04,196.0,
2003-05,198.8,
2003-06,190.3,
2003-07,193.9,
2003-08,198.8,
2003-09,186.3,
2003-10,191.5,
2003-11,185.9,
2003-12,175.3,
2004-01,185.7,
2004-02,197.7,
2004-03,178.4,
2004-04,183.1,
2004-05,177.2,
2004-06,180.0,
2004-07,187.7,
2004-08,174.6,
2004-09,170.1,
2004-10,164.2,
2004-11,175.3,
2004-12,176.0,
2005-01,153.9,
2005-02,156.2,
2005-03,175.7,
2005-04,184.5,
2005-05,184.9,
2005-06,183.8,
2005-07,168.0,
2005-08,179.7,
2005-09,177.6,
2005-10,176.2,
2005-11,169.4,
2005-12,184.2,
2006-01,179.5,
2006-02,172.9,
2006-03,169.4,
2006-04,168.5,
2006-05,176.0,
2006-06,183.3,
2006-07,168.5,
2006-08,168.2,
2006-09,174.8,
2006-10,167.3,
2006-11,167.5,
2006-12,163.8,
2007-01,173.7,
2007-02,177.9,
2007-03,205.2,
2007-04,189.2,
2007-05,188.7,
2007-06,198.8,
2007-07,208.5,
2007-08,199.5,
2007-09,196.5,
2007-10,197.2,
2007-11,184.7,
2007-12,184.5,
2008-01,125.4,
2008-02,133.9,
2008-03,138.4,
2008-04,141.4,
2008-05,144.9,
2008-06,98.3,
2008-07,133.9,
2008-08,134.3,
2008-09,125.7,
2008-10,124.3,
2008-11,118.6,
2008-12,120.9,
2009-01,110.6,
2009-02,120.7,
2009-03,121.2,
2009-04,121.6,
2009-05,120.9,
2009-06,119.7,
2009-07,120.5,
2009-08,121.6,
2009-09,119.3,
2009-10,112.5,
2009-11,111.7,
2009-12,115.0,
2010-01,109.1,
2010-02,107.3,
2010-03,102.2,
2010-04,100.4,
2010-05,99.6,
2010-06,100.5,
2010-07,96.3,
2010-08,86.1,
2010-09,95.3,
2010-10,101.7,
2010-11,100.1,
2010-12,100.6,
2011-01,99.7,
2011-02,102.0,
2011-03,103.6,
2011-04,103.8,
2011-05,104.2,
2011-06,98.6,
2011-07,97.6,
2011-08,96.9,
2011-09,95.0,
2011-10,93.0,
2011-11,101.3,
2011-12,95.1,
2012-01,94.2,
2012-02,94.3,
2012-03,91.7,
2012-04,93.4,
2012-05,90.9,
2012-06,91.1,
2012-07,91.1,
2012-08,90.9,
2012-09,90.6,
2012-10,92.5,
2012-11,92.5,
2012-12,89.5,
2013-01,91.9,
2013-02,89.2,
2013-03,92.2,
2013-04,89.7,
2013-05,90.4,
2013-06,86.6,
2013-07,88.0,
2013-08,87.0,
2013-09,86.2,
2013-10,84.9,
2013-11,83.3,
2013-12,84.1,
2014-01,82.5,
2014-02,81.2,
2014-03,81.5,
2014-04,80.9,
2014-05,80.3,
2014-06,93.7,
2014-07,87.5,
2014-08,86.8,
2014-09,88.3,
2014-10,88.4,Provisional value
2014-11,87.9,Provisional value
2014-12,80.7,Provisional value
