"",BBK01.OEAC13M,BBK01.OEAC13M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:57,
2002-01,5.738,
2002-04,5.708,
2002-07,5.661,
2002-10,5.631,
2003-01,5.666,
2003-04,5.928,
2003-07,4.009,
2003-10,4.060,
2004-01,4.020,
2004-04,4.047,
2004-07,3.626,
2004-10,2.823,
2005-01,2.818,
2005-04,2.758,
2005-07,2.764,
2005-10,2.765,
2006-01,2.680,
2006-04,2.757,
2006-07,2.727,
2006-10,2.879,
2007-01,2.883,
2007-04,2.867,
2007-07,2.809,
2007-10,2.644,
2008-01,2.611,
2008-04,2.655,
2008-07,2.651,
2008-10,2.727,
2009-01,2.786,
2009-04,3.008,
2009-07,3.265,
2009-10,3.379,
2010-01,3.392,
2010-04,3.731,
2010-07,3.815,
2010-10,3.577,
2011-01,3.633,
2011-04,3.703,
2011-07,3.701,
2011-10,3.765,
2012-01,3.748,
2012-04,4.134,
2012-07,4.212,
2012-10,4.357,
2013-01,4.227,
2013-04,4.392,
2013-07,4.531,
2013-10,4.656,
2014-01,4.653,
2014-04,4.760,
2014-07,4.850,
