"",BBK01.OECO03G,BBK01.OECO03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:34,
2002-01,0.706,
2002-04,1.200,
2002-07,0.270,
2002-10,0.267,
2003-01,0.328,
2003-04,0.340,
2003-07,0.342,
2003-10,0.378,
2004-01,0.530,
2004-04,0.380,
2004-07,0.352,
2004-10,0.380,
2005-01,0.978,
2005-04,0.829,
2005-07,0.926,
2005-10,0.984,
2006-01,1.052,
2006-04,1.012,
2006-07,0.964,
2006-10,1.042,
2007-01,1.171,
2007-04,0.965,
2007-07,0.926,
2007-10,1.014,
2008-01,1.065,
2008-04,0.904,
2008-07,0.913,
2008-10,1.081,
2009-01,1.112,
2009-04,0.937,
2009-07,1.075,
2009-10,1.119,
2010-01,1.372,
2010-04,0.978,
2010-07,0.679,
2010-10,0.807,
2011-01,1.041,
2011-04,1.016,
2011-07,0.983,
2011-10,0.808,
2012-01,1.004,
2012-04,0.771,
2012-07,0.827,
2012-10,0.788,
2013-01,1.332,
2013-04,0.831,
2013-07,0.841,
2013-10,0.668,
2014-01,0.551,
2014-04,0.486,
2014-07,0.573,
