"",BBK01.TVD427,BBK01.TVD427_FLAGS
"",Deposits of banks (MFIs) in the euro area / total / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:21:04,
1980-01,0,
1980-02,584,
1980-03,4345,
1980-04,1050,
1980-05,3036,
1980-06,5849,
1980-07,-1850,
1980-08,-1987,
1980-09,5670,
1980-10,4966,
1980-11,12661,
1980-12,3954,
1981-01,-5912,
1981-02,-5945,
1981-03,2976,
1981-04,-4300,
1981-05,4348,
1981-06,3050,
1981-07,-1673,
1981-08,5351,
1981-09,577,
1981-10,2002,
1981-11,11474,
1981-12,3634,
1982-01,-10283,
1982-02,2213,
1982-03,6709,
1982-04,-6156,
1982-05,2235,
1982-06,1580,
1982-07,-258,
1982-08,3826,
1982-09,6317,
1982-10,939,
1982-11,9450,
1982-12,705,
1983-01,-11686,
1983-02,-4376,
1983-03,-2950,
1983-04,2936,
1983-05,6536,
1983-06,6100,
1983-07,-5198,
1983-08,1587,
1983-09,859,
1983-10,4760,
1983-11,4408,
1983-12,8553,
1984-01,-14121,
1984-02,1844,
1984-03,-1759,
1984-04,-7750,
1984-05,-94,
1984-06,7677,
1984-07,2804,
1984-08,6475,
1984-09,8444,
1984-10,3960,
1984-11,11611,
1984-12,8489,
1985-01,-19319,
1985-02,9919,
1985-03,-3464,
1985-04,-5583,
1985-05,1849,
1985-06,9847,
1985-07,-3943,
1985-08,-2319,
1985-09,5527,
1985-10,5755,
1985-11,9249,
1985-12,13844,
1986-01,-19721,
1986-02,-2300,
1986-03,6717,
1986-04,1362,
1986-05,784,
1986-06,8166,
1986-07,-6096,
1986-08,4339,
1986-09,574,
1986-10,-71,
1986-11,20526,
1986-12,6022,
1987-01,-20058,
1987-02,1415,
1987-03,11915,
1987-04,-11695,
1987-05,6138,
1987-06,4646,
1987-07,-1275,
1987-08,9324,
1987-09,1047,
1987-10,4108,
1987-11,7005,
1987-12,4561,
1988-01,-13011,
1988-02,9304,
1988-03,-3132,
1988-04,-4664,
1988-05,3245,
1988-06,12373,
1988-07,7062,
1988-08,13505,
1988-09,10262,
1988-10,8179,
1988-11,8270,
1988-12,6112,
1989-01,-16420,
1989-02,976,
1989-03,6447,
1989-04,4280,
1989-05,1779,
1989-06,5180,
1989-07,6199,
1989-08,-7403,
1989-09,6783,
1989-10,4161,
1989-11,24142,
1989-12,4680,
1990-01,-10963,
1990-02,9710,
1990-03,-4467,
1990-04,-8376,
1990-05,6420,
1990-06,7058,
1990-07,18722,
1990-08,10656,
1990-09,6252,
1990-10,5903,
1990-11,1931,
1990-12,2264,
1991-01,-18252,
1991-02,-3134,
1991-03,-3193,
1991-04,-3901,
1991-05,-3126,
1991-06,15714,
1991-07,-7055,
1991-08,-6814,
1991-09,8910,
1991-10,-487,
1991-11,23107,
1991-12,1211,
1992-01,-17904,
1992-02,-877,
1992-03,2882,
1992-04,-9042,
1992-05,-754,
1992-06,7949,
1992-07,-4530,
1992-08,11179,
1992-09,-9017,
1992-10,18630,
1992-11,32665,
1992-12,-7500,
1993-01,-9610,
1993-02,9142,
1993-03,13400,
1993-04,-5244,
1993-05,5659,
1993-06,12015,
1993-07,-10366,
1993-08,-12262,
1993-09,22398,
1993-10,11277,
1993-11,28784,
1993-12,11865,
1994-01,-7924,
1994-02,1458,
1994-03,-14728,
1994-04,70,
1994-05,5150,
1994-06,667,
1994-07,-2790,
1994-08,1534,
1994-09,1087,
1994-10,18868,
1994-11,29602,
1994-12,15363,
1995-01,-28377,
1995-02,13483,
1995-03,-7136,
1995-04,7097,
1995-05,2277,
1995-06,-6734,
1995-07,-19619,
1995-08,11127,
1995-09,17504,
1995-10,10358,
1995-11,44550,
1995-12,12062,
1996-01,-6747,
1996-02,16763,
1996-03,7803,
1996-04,-4347,
1996-05,-5286,
1996-06,16875,
1996-07,-788,
1996-08,11870,
1996-09,10727,
1996-10,15756,
1996-11,37758,
1996-12,8883,
1997-01,-17119,
1997-02,21675,
1997-03,10753,
1997-04,620,
1997-05,17592,
1997-06,26922,
1997-07,-7333,
1997-08,12931,
1997-09,-8216,
1997-10,31777,
1997-11,28262,
1997-12,-3975,
1998-01,6557,
1998-02,4417,
1998-03,10760,
1998-04,-428,
1998-05,22566,
1998-06,21834,
1998-07,-17634,
1998-08,33472,
1998-09,1227,
1998-10,33855,
1998-11,42227,
1998-12,-15206,
1999-01,48706,
1999-02,-48304,
1999-03,-10547,
1999-04,17456,
1999-05,15267,
1999-06,-2664,
1999-07,23408,
1999-08,14180,
1999-09,13603,
1999-10,23496,
1999-11,6627,
1999-12,-38256,
2000-01,20384,
2000-02,-14229,
2000-03,28601,
2000-04,-13063,
2000-05,26116,
