"",BBK01.OEAH05O,BBK01.OEAH05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:49,
2002-01,-4.062,
2002-04,-3.509,
2002-07,-3.462,
2002-10,-2.902,
2003-01,-1.912,
2003-04,-1.562,
2003-07,-0.688,
2003-10,0.616,
2004-01,2.242,
2004-04,3.141,
2004-07,4.168,
2004-10,5.236,
2005-01,20.483,
2005-04,20.281,
2005-07,20.711,
2005-10,21.096,
2006-01,21.436,
2006-04,21.388,
2006-07,21.937,
2006-10,22.348,
2007-01,22.457,
2007-04,22.744,
2007-07,22.939,
2007-10,23.431,
2008-01,23.898,
2008-04,23.852,
2008-07,19.665,
2008-10,20.296,
2009-01,21.181,
2009-04,21.155,
2009-07,21.320,
2009-10,22.520,
2010-01,22.345,
2010-04,22.218,
2010-07,22.082,
2010-10,21.855,
2011-01,21.551,
2011-04,21.180,
2011-07,21.113,
2011-10,20.955,
2012-01,20.834,
2012-04,20.993,
2012-07,21.073,
2012-10,21.302,
2013-01,20.809,
2013-04,19.922,
2013-07,19.441,
2013-10,19.462,
2014-01,19.286,
2014-04,19.337,
2014-07,19.056,
