"",BBFB1.M.N.DE.W1.S13.S1.T.C.D5._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.D5._Z._Z._Z._T._X.N_FLAGS
"","Current account / Secondary income / General government / Current taxes on income, wealth etc. / Receipts / Rest of the World",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:01,
1991-01,91.136,
1991-02,3.608,
1991-03,90.774,
1991-04,65.116,
1991-05,128.828,
1991-06,313.359,
1991-07,198.068,
1991-08,30.311,
1991-09,-69.402,
1991-10,6.677,
1991-11,65.711,
1991-12,212.188,
1992-01,146.349,
1992-02,-162.876,
1992-03,70.590,
1992-04,39.901,
1992-05,195.237,
1992-06,272.699,
1992-07,276.042,
1992-08,63.738,
1992-09,159.631,
1992-10,18.691,
1992-11,123.745,
1992-12,273.753,
1993-01,37.056,
1993-02,3.033,
1993-03,148.068,
1993-04,60.672,
1993-05,148.631,
1993-06,136.130,
1993-07,67.997,
1993-08,65.841,
1993-09,122.181,
1993-10,26.387,
1993-11,154.547,
1993-12,204.828,
1994-01,194.942,
1994-02,63.630,
1994-03,176.724,
1994-04,92.249,
1994-05,232.455,
1994-06,161.698,
1994-07,110.005,
1994-08,66.428,
1994-09,86.328,
1994-10,32.626,
1994-11,185.865,
1994-12,168.724,
1995-01,120.005,
1995-02,113.398,
1995-03,120.707,
1995-04,121.920,
1995-05,242.180,
1995-06,188.018,
1995-07,133.219,
1995-08,46.970,
1995-09,54.523,
1995-10,84.617,
1995-11,211.280,
1995-12,173.145,
1996-01,79.855,
1996-02,93.289,
1996-03,113.202,
1996-04,142.529,
1996-05,159.841,
1996-06,190.577,
1996-07,409.930,
1996-08,64.579,
1996-09,190.644,
1996-10,108.929,
1996-11,127.578,
1996-12,328.132,
1997-01,37.733,
1997-02,88.809,
1997-03,161.039,
1997-04,-4.118,
1997-05,307.976,
1997-06,222.188,
1997-07,149.603,
1997-08,-2.525,
1997-09,53.738,
1997-10,-6.134,
1997-11,108.916,
1997-12,278.075,
1998-01,23.916,
1998-02,72.509,
1998-03,185.712,
1998-04,200.638,
1998-05,388.313,
1998-06,703.927,
1998-07,116.804,
1998-08,-12.742,
1998-09,91.373,
1998-10,26.278,
1998-11,77.526,
1998-12,192.658,
1999-01,134.642,
1999-02,164.920,
1999-03,142.613,
1999-04,159.376,
1999-05,662.736,
1999-06,224.591,
1999-07,220.126,
1999-08,20.671,
1999-09,149.311,
1999-10,23.658,
1999-11,35.756,
1999-12,542.773,
2000-01,-19.820,
2000-02,118.385,
2000-03,141.445,
2000-04,420.021,
2000-05,603.421,
