"",BBK01.OEAD23G,BBK01.OEAD23G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:35,
2002-01,0.241,
2002-04,0.185,
2002-07,0.197,
2002-10,0.186,
2003-01,0.200,
2003-04,0.197,
2003-07,0.194,
2003-10,0.214,
2004-01,0.210,
2004-04,0.205,
2004-07,0.214,
2004-10,0.205,
2005-01,0.199,
2005-04,0.201,
2005-07,0.195,
2005-10,0.199,
2006-01,0.212,
2006-04,0.206,
2006-07,0.223,
2006-10,0.240,
2007-01,0.252,
2007-04,0.239,
2007-07,0.246,
2007-10,0.258,
2008-01,0.253,
2008-04,0.239,
2008-07,0.248,
2008-10,0.236,
2009-01,0.220,
2009-04,0.205,
2009-07,0.192,
2009-10,0.193,
2010-01,0.158,
2010-04,0.152,
2010-07,0.177,
2010-10,0.172,
2011-01,0.167,
2011-04,0.166,
2011-07,0.163,
2011-10,0.181,
2012-01,0.208,
2012-04,0.200,
2012-07,0.198,
2012-10,0.206,
2013-01,0.203,
2013-04,0.199,
2013-07,0.251,
2013-10,0.251,
2014-01,0.254,
2014-04,0.253,
2014-07,0.243,
