"",BBK01.OEAL03V,BBK01.OEAL03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:12,
2002-01,2.106,
2002-04,1.975,
2002-07,1.947,
2002-10,1.965,
2003-01,1.931,
2003-04,1.798,
2003-07,1.734,
2003-10,1.644,
2004-01,1.550,
2004-04,1.489,
2004-07,1.406,
2004-10,1.365,
2005-01,1.618,
2005-04,1.595,
2005-07,1.534,
2005-10,1.559,
2006-01,1.553,
2006-04,1.594,
2006-07,1.617,
2006-10,1.671,
2007-01,1.733,
2007-04,1.813,
2007-07,1.861,
2007-10,2.051,
2008-01,2.221,
2008-04,2.324,
2008-07,2.408,
2008-10,2.652,
2009-01,2.386,
2009-04,2.063,
2009-07,1.730,
2009-10,1.613,
2010-01,1.363,
2010-04,1.335,
2010-07,1.221,
2010-10,1.132,
2011-01,1.110,
2011-04,1.112,
2011-07,1.119,
2011-10,1.252,
2012-01,1.278,
2012-04,1.230,
2012-07,1.119,
2012-10,1.033,
2013-01,1.078,
2013-04,1.046,
2013-07,1.005,
2013-10,1.020,
2014-01,0.988,
2014-04,0.967,
2014-07,0.950,
