"",BBK01.OEXB10T,BBK01.OEXB10T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:13,
2002-01,0.300,
2002-04,0.291,
2002-07,0.352,
2002-10,0.360,
2003-01,0.386,
2003-04,0.371,
2003-07,0.396,
2003-10,0.395,
2004-01,0.357,
2004-04,0.328,
2004-07,0.330,
2004-10,0.284,
2005-01,0.279,
2005-04,0.208,
2005-07,0.221,
2005-10,0.234,
2006-01,0.244,
2006-04,0.227,
2006-07,0.249,
2006-10,0.248,
2007-01,0.220,
2007-04,0.235,
2007-07,0.272,
2007-10,0.295,
2008-01,0.304,
2008-04,0.293,
2008-07,0.334,
2008-10,0.267,
2009-01,0.249,
2009-04,0.236,
2009-07,0.250,
2009-10,0.244,
2010-01,0.232,
2010-04,0.241,
2010-07,0.122,
2010-10,0.133,
2011-01,0.104,
2011-04,0.125,
2011-07,0.152,
2011-10,0.142,
2012-01,0.149,
2012-04,0.206,
2012-07,0.208,
2012-10,0.211,
2013-01,0.173,
2013-04,0.177,
2013-07,0.169,
2013-10,0.168,
2014-01,0.140,
2014-04,0.153,
2014-07,0.157,
