"",BBK01.BQM308,BBK01.BQM308_FLAGS
"",Local government debt - of which loans - of which short-term,
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:39,
2000-01,6765,
2000-04,7673,
2000-07,7656,
2000-10,7553,
2001-01,8381,
2001-04,9371,
2001-07,8958,
2001-10,9775,
2002-01,10248,
2002-04,11600,
2002-07,11796,
2002-10,11482,
2003-01,13694,
2003-04,15273,
2003-07,15739,
2003-10,16510,
2004-01,18222,
2004-04,19234,
2004-07,20019,
2004-10,20529,
2005-01,22211,
2005-04,23763,
2005-07,24447,
2005-10,24609,
2006-01,27056,
2006-04,28294,
2006-07,28635,
2006-10,28840,
2007-01,29828,
2007-04,30361,
2007-07,29529,
2007-10,30110,
2008-01,29884,
2008-04,30655,
2008-07,30843,
2008-10,31924,
2009-01,33729,
2009-04,34799,
2009-07,36098,
2009-10,36920,
2010-01,39441,Provisional value
2010-04,41780,Provisional value
2010-07,42993,Provisional value
2010-10,43338,Provisional value
2011-01,44214,Provisional value
2011-04,45112,Provisional value
2011-07,45699,Provisional value
2011-10,46550,Provisional value
2012-01,49272,Provisional value
2012-04,49469,Provisional value
2012-07,48557,Provisional value
2012-10,49417,Provisional value
2013-01,50970,Provisional value
2013-04,49715,Provisional value
2013-07,50128,Provisional value
2013-10,49975,Provisional value
2014-01,50721,Provisional value
2014-04,50973,Provisional value
2014-07,51886,Provisional value
