"",BBK01.OELB02O,BBK01.OELB02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:27,
2002-01,3.491,
2002-04,3.528,
2002-07,3.523,
2002-10,3.410,
2003-01,3.407,
2003-04,3.396,
2003-07,3.361,
2003-10,3.234,
2004-01,3.169,
2004-04,3.198,
2004-07,3.141,
2004-10,3.070,
2005-01,3.058,
2005-04,2.915,
2005-07,2.933,
2005-10,2.843,
2006-01,2.814,
2006-04,2.848,
2006-07,2.796,
2006-10,2.648,
2007-01,2.636,
2007-04,2.678,
2007-07,2.642,
2007-10,2.572,
2008-01,2.618,
2008-04,2.623,
2008-07,2.601,
2008-10,2.621,
2009-01,2.695,
2009-04,2.654,
2009-07,2.621,
2009-10,2.536,
2010-01,2.548,
2010-04,2.615,
2010-07,2.541,
2010-10,2.486,
2011-01,2.487,
2011-04,2.548,
2011-07,2.497,
2011-10,2.367,
2012-01,2.440,
2012-04,2.456,
2012-07,2.409,
2012-10,2.404,
2013-01,2.520,
2013-04,2.498,
2013-07,2.461,
2013-10,2.359,
2014-01,2.479,
2014-04,2.564,
2014-07,2.487,
