"",BBK01.OEXL07U,BBK01.OEXL07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:31,
2002-01,0.648,
2002-04,0.623,
2002-07,0.616,
2002-10,0.628,
2003-01,0.615,
2003-04,0.598,
2003-07,0.587,
2003-10,0.594,
2004-01,0.589,
2004-04,0.530,
2004-07,0.514,
2004-10,0.496,
2005-01,0.520,
2005-04,0.514,
2005-07,0.481,
2005-10,0.496,
2006-01,0.502,
2006-04,0.501,
2006-07,0.493,
2006-10,0.550,
2007-01,0.635,
2007-04,0.661,
2007-07,0.690,
2007-10,0.773,
2008-01,0.827,
2008-04,0.846,
2008-07,0.865,
2008-10,1.005,
2009-01,0.969,
2009-04,0.915,
2009-07,0.931,
2009-10,0.894,
2010-01,0.823,
2010-04,0.800,
2010-07,0.780,
2010-10,0.866,
2011-01,0.919,
2011-04,0.918,
2011-07,0.905,
2011-10,0.895,
2012-01,0.867,
2012-04,0.869,
2012-07,0.871,
2012-10,0.817,
2013-01,0.763,
2013-04,0.725,
2013-07,0.712,
2013-10,0.700,
2014-01,0.687,
2014-04,0.664,
2014-07,0.711,
