"",BBK01.OEXI03K,BBK01.OEXI03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:42,
2002-01,7.593,
2002-04,7.837,
2002-07,7.762,
2002-10,8.074,
2003-01,8.080,
2003-04,7.157,
2003-07,7.947,
2003-10,7.753,
2004-01,7.050,
2004-04,7.096,
2004-07,7.185,
2004-10,3.553,
2005-01,3.451,
2005-04,3.678,
2005-07,3.186,
2005-10,3.676,
2006-01,3.626,
2006-04,4.038,
2006-07,3.991,
2006-10,3.981,
2007-01,4.670,
2007-04,4.532,
2007-07,4.695,
2007-10,5.568,
2008-01,5.031,
2008-04,5.921,
2008-07,6.233,
2008-10,6.405,
2009-01,5.440,
2009-04,5.375,
2009-07,4.488,
2009-10,4.348,
2010-01,4.561,
2010-04,4.464,
2010-07,4.256,
2010-10,5.022,
2011-01,4.784,
2011-04,4.958,
2011-07,5.533,
2011-10,5.627,
2012-01,5.508,
2012-04,5.649,
2012-07,5.305,
2012-10,5.005,
2013-01,5.878,
2013-04,5.149,
2013-07,4.193,
2013-10,4.308,
2014-01,3.677,
2014-04,3.794,
2014-07,3.676,
