"",BBK01.OEAM04N,BBK01.OEAM04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:31,
2002-01,6.511,
2002-04,5.767,
2002-07,4.724,
2002-10,3.907,
2003-01,4.718,
2003-04,5.030,
2003-07,4.820,
2003-10,4.919,
2004-01,4.208,
2004-04,5.711,
2004-07,4.894,
2004-10,4.275,
2005-01,4.255,
2005-04,4.598,
2005-07,4.285,
2005-10,5.323,
2006-01,5.923,
2006-04,10.354,
2006-07,9.427,
2006-10,10.178,
2007-01,10.139,
2007-04,11.735,
2007-07,10.822,
2007-10,14.017,
2008-01,13.130,
2008-04,13.499,
2008-07,13.985,
2008-10,15.913,
2009-01,14.571,
2009-04,18.666,
2009-07,14.034,
2009-10,12.809,
2010-01,11.206,
2010-04,11.446,
2010-07,12.831,
2010-10,13.143,
2011-01,13.811,
2011-04,17.504,
2011-07,20.180,
2011-10,19.127,
2012-01,27.537,
2012-04,38.389,
2012-07,39.449,
2012-10,13.144,
2013-01,12.347,
2013-04,12.666,
2013-07,13.580,
2013-10,12.403,
2014-01,9.911,
2014-04,10.211,
2014-07,9.668,
