"",BBFB1.Q.N.DE.W03100.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:26,
1991-01,12974.589,
1991-04,12659.811,
1991-07,13867.383,
1991-10,13180.254,
1992-01,12588.920,
1992-04,11697.410,
1992-07,12029.760,
1992-10,11753.259,
1993-01,11331.823,
1993-04,11458.792,
1993-07,12369.473,
1993-10,12372.733,
1994-01,12893.630,
1994-04,12194.597,
1994-07,13395.114,
1994-10,13731.355,
1995-01,12981.930,
1995-04,12733.367,
1995-07,13567.546,
1995-10,13997.478,
1996-01,13309.565,
1996-04,13243.623,
1996-07,13945.714,
1996-10,14017.974,
1997-01,14875.221,
1997-04,15224.429,
1997-07,16643.071,
1997-10,16122.918,
1998-01,16559.681,
1998-04,16032.451,
1998-07,16544.236,
1998-10,15921.483,
1999-01,16772.007,
1999-04,16410.695,
1999-07,18857.707,
1999-10,19982.221,
2000-01,21462.979,
2000-04,23241.572,
2000-07,25729.840,
2000-10,27662.022,
2001-01,24681.303,
2001-04,23672.315,
2001-07,24277.450,
2001-10,23589.200,
2002-01,21888.198,
2002-04,22595.289,
2002-07,22519.393,
2002-10,24578.797,
2003-01,24962.015,
2003-04,23847.108,
2003-07,24347.023,
2003-10,26951.087,
2004-01,25298.349,
2004-04,26995.472,
2004-07,30537.505,
2004-10,34078.811,
2005-01,29261.807,
2005-04,32896.681,
2005-07,35707.780,
2005-10,39507.799,
2006-01,40932.848,
2006-04,40679.095,
2006-07,42853.227,
2006-10,45169.307,
2007-01,44041.251,
2007-04,42271.818,
2007-07,45308.147,
2007-10,47519.565,
2008-01,48131.055,
2008-04,47605.957,
2008-07,53345.771,
2008-10,49688.621,
2009-01,39896.397,
2009-04,36603.612,
2009-07,42919.555,
2009-10,43138.197,
2010-01,45953.841,
2010-04,53085.872,
2010-07,56879.286,
2010-10,57701.430,
2011-01,59589.829,
2011-04,59260.983,
2011-07,62987.039,
2011-10,61649.064,
2012-01,61328.687,
2012-04,58136.168,
2012-07,60555.911,
2012-10,59973.862,
2013-01,58839.291,
2013-04,56696.646,
2013-07,61177.713,
2013-10,56697.795,
2014-01,58580.889,Provisional value
2014-04,55391.779,Provisional value
2014-07,60551.918,Provisional value
