"",BBFB1.Q.N.DE.GR.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:26,
1991-01,24.166,
1991-04,28.267,
1991-07,20.046,
1991-10,33.976,
1992-01,29.320,
1992-04,4.560,
1992-07,9.686,
1992-10,6.309,
1993-01,19.278,
1993-04,19.015,
1993-07,12.244,
1993-10,53.477,
1994-01,10.878,
1994-04,-15.140,
1994-07,0.645,
1994-10,-6.101,
1995-01,24.313,
1995-04,21.764,
1995-07,29.066,
1995-10,39.029,
1996-01,-19.782,
1996-04,8.734,
1996-07,-33.518,
1996-10,-58.557,
1997-01,81.287,
1997-04,122.397,
1997-07,117.194,
1997-10,135.537,
1998-01,118.229,
1998-04,74.256,
1998-07,-0.115,
1998-10,93.868,
1999-01,46.136,
1999-04,78.614,
1999-07,49.212,
1999-10,77.877,
2000-01,275.630,
2000-04,-7.116,
2000-07,36.283,
2000-10,-18.184,
2001-01,63.624,
2001-04,79.902,
2001-07,-17.829,
2001-10,-40.740,
2002-01,36.596,
2002-04,36.325,
2002-07,80.284,
2002-10,-32.849,
2003-01,33.079,
2003-04,33.284,
2003-07,-17.674,
2003-10,65.165,
2004-01,126.812,
2004-04,141.354,
2004-07,-113.154,
2004-10,-21.892,
2005-01,29.337,
2005-04,116.510,
2005-07,-8.195,
2005-10,-91.170,
2006-01,131.597,
2006-04,89.161,
2006-07,-29.066,
2006-10,89.052,
2007-01,266.165,
2007-04,76.485,
2007-07,119.995,
2007-10,-93.014,
2008-01,159.944,
2008-04,2571.963,
2008-07,103.133,
2008-10,33.564,
2009-01,119.032,
2009-04,21.145,
2009-07,590.305,
2009-10,30.558,
2010-01,-65.578,
2010-04,109.882,
2010-07,-35.809,
2010-10,-327.269,
2011-01,-39.234,
2011-04,-266.844,
2011-07,271.219,
2011-10,-31.601,
2012-01,-82.210,
2012-04,-159.656,
2012-07,-5.164,
2012-10,-127.989,
2013-01,15.810,
2013-04,45.459,
2013-07,-36.102,
2013-10,-52.754,
2014-01,59.279,Provisional value
2014-04,72.085,Provisional value
2014-07,-55.635,Provisional value
2014-10,-120.377,Provisional value
