"",BBEX3.D.TRY.USD.CA.AC.000,BBEX3.D.TRY.USD.CA.AC.000_FLAGS
"",Exchange rates for the US dollar in Turkey / USD 1 = TRY... (middle),
unit,TRY (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:53:56,
2005-01-01,.,No value available
2005-01-02,.,No value available
2005-01-03,1.33950,
2005-01-04,1.34155,
2005-01-05,1.34595,
2005-01-06,1.38080,
2005-01-07,1.40340,
2005-01-08,.,No value available
2005-01-09,.,No value available
2005-01-10,1.37560,
2005-01-11,1.38555,
2005-01-12,1.37700,
2005-01-13,1.37650,
2005-01-14,1.35325,
2005-01-15,.,No value available
2005-01-16,.,No value available
2005-01-17,1.35285,
2005-01-18,1.33490,
2005-01-19,1.33960,
2005-01-20,.,No value available
2005-01-21,.,No value available
2005-01-22,.,No value available
2005-01-23,.,No value available
2005-01-24,.,No value available
2005-01-25,1.33730,
2005-01-26,1.33020,
2005-01-27,1.32990,
2005-01-28,1.33720,
2005-01-29,.,No value available
2005-01-30,.,No value available
2005-01-31,1.33190,
2005-02-01,1.33270,
2005-02-02,1.32840,
2005-02-03,1.32350,
2005-02-04,1.31980,
2005-02-05,.,No value available
2005-02-06,.,No value available
2005-02-07,1.31455,
2005-02-08,1.31245,
2005-02-09,1.32620,
2005-02-10,1.32520,
2005-02-11,1.33590,
2005-02-12,.,No value available
2005-02-13,.,No value available
2005-02-14,1.31965,
2005-02-15,1.31205,
2005-02-16,1.30825,
2005-02-17,1.30945,
2005-02-18,1.30815,
2005-02-19,.,No value available
2005-02-20,.,No value available
2005-02-21,1.30315,
2005-02-22,1.30475,
2005-02-23,1.29580,
2005-02-24,1.30115,
2005-02-25,1.29360,
2005-02-26,.,No value available
2005-02-27,.,No value available
2005-02-28,1.29160,
2005-03-01,1.28160,
2005-03-02,1.27990,
2005-03-03,1.28030,
2005-03-04,1.27405,
2005-03-05,.,No value available
2005-03-06,.,No value available
2005-03-07,1.27295,
2005-03-08,1.25710,
2005-03-09,1.26155,
2005-03-10,1.26205,
2005-03-11,1.27775,
2005-03-12,.,No value available
2005-03-13,.,No value available
2005-03-14,1.26205,
2005-03-15,1.27910,
2005-03-16,1.29000,
2005-03-17,1.32560,
2005-03-18,1.32060,
2005-03-19,.,No value available
2005-03-20,.,No value available
2005-03-21,1.31325,
2005-03-22,1.33290,
2005-03-23,1.33220,
2005-03-24,1.36125,
2005-03-25,1.35155,
2005-03-26,.,No value available
2005-03-27,.,No value available
2005-03-28,1.34895,
2005-03-29,1.36065,
2005-03-30,1.38715,
2005-03-31,1.37390,
2005-04-01,1.34945,
2005-04-02,.,No value available
2005-04-03,.,No value available
2005-04-04,1.34615,
2005-04-05,1.36330,
2005-04-06,1.36770,
2005-04-07,1.34795,
2005-04-08,1.33880,
2005-04-09,.,No value available
2005-04-10,.,No value available
2005-04-11,1.34875,
2005-04-12,1.34405,
2005-04-13,1.34085,
2005-04-14,1.33900,
2005-04-15,1.35325,
2005-04-16,.,No value available
2005-04-17,.,No value available
2005-04-18,1.37560,
2005-04-19,1.37530,
2005-04-20,1.37220,
2005-04-21,1.35795,
2005-04-22,1.35865,
2005-04-23,.,No value available
2005-04-24,.,No value available
2005-04-25,1.35315,
2005-04-26,1.35975,
2005-04-27,1.35825,
2005-04-28,1.36590,
2005-04-29,1.37630,
2005-04-30,.,No value available
2005-05-01,.,No value available
2005-05-02,1.38775,
2005-05-03,1.38215,
2005-05-04,1.36980,
2005-05-05,1.34615,
2005-05-06,1.33950,
2005-05-07,.,No value available
2005-05-08,.,No value available
2005-05-09,1.34545,
2005-05-10,1.35335,
2005-05-11,1.35875,
2005-05-12,1.36780,
2005-05-13,1.35595,
2005-05-14,.,No value available
2005-05-15,.,No value available
2005-05-16,1.36450,
2005-05-17,1.37930,
2005-05-18,1.37840,
2005-05-19,.,No value available
2005-05-20,1.37410,
2005-05-21,.,No value available
2005-05-22,.,No value available
2005-05-23,1.35965,
2005-05-24,1.38565,
2005-05-25,1.38050,
2005-05-26,1.38395,
2005-05-27,1.38110,
2005-05-28,.,No value available
2005-05-29,.,No value available
2005-05-30,1.37240,
2005-05-31,1.36890,
2005-06-01,1.35825,
2005-06-02,1.36280,
2005-06-03,1.34685,
2005-06-04,.,No value available
2005-06-05,.,No value available
2005-06-06,1.35865,
2005-06-07,1.36380,
2005-06-08,1.35685,
2005-06-09,1.36430,
2005-06-10,1.35915,
2005-06-11,.,No value available
2005-06-12,.,No value available
2005-06-13,1.35555,
2005-06-14,1.37540,
2005-06-15,1.36710,
2005-06-16,1.37610,
2005-06-17,1.36350,
2005-06-18,.,No value available
2005-06-19,.,No value available
2005-06-20,1.35605,
2005-06-21,1.35595,
2005-06-22,1.36160,
2005-06-23,1.35135,
2005-06-24,1.35305,
2005-06-25,.,No value available
2005-06-26,.,No value available
2005-06-27,1.34985,
2005-06-28,1.34805,
2005-06-29,1.34615,
2005-06-30,1.34455,
2005-07-01,1.33690,
2005-07-02,.,No value available
2005-07-03,.,No value available
2005-07-04,1.33360,
2005-07-05,1.34010,
2005-07-06,1.34315,
2005-07-07,1.34655,
2005-07-08,1.35825,
2005-07-09,.,No value available
2005-07-10,.,No value available
2005-07-11,1.34665,
2005-07-12,1.33930,
2005-07-13,1.33470,
2005-07-14,1.32870,
2005-07-15,1.33160,
2005-07-16,.,No value available
2005-07-17,.,No value available
2005-07-18,1.32550,
2005-07-19,1.33020,
2005-07-20,1.33090,
2005-07-21,1.32870,
2005-07-22,1.32330,
2005-07-23,.,No value available
2005-07-24,.,No value available
2005-07-25,1.32330,
2005-07-26,1.33540,
2005-07-27,1.34425,
2005-07-28,1.33980,
2005-07-29,1.33390,
2005-07-30,.,No value available
2005-07-31,.,No value available
2005-08-01,1.32440,
2005-08-02,1.31835,
2005-08-03,1.32130,
2005-08-04,1.31585,
2005-08-05,1.31205,
2005-08-06,.,No value available
