"",BBK01.OEXB08I,BBK01.OEXB08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:11,
2002-01,14.643,
2002-04,14.839,
2002-07,14.894,
2002-10,14.844,
2003-01,14.953,
2003-04,15.051,
2003-07,12.294,
2003-10,11.897,
2004-01,12.039,
2004-04,12.279,
2004-07,12.617,
2004-10,12.970,
2005-01,13.500,
2005-04,13.924,
2005-07,13.746,
2005-10,14.266,
2006-01,14.936,
2006-04,15.126,
2006-07,14.544,
2006-10,17.166,
2007-01,18.753,
2007-04,19.673,
2007-07,20.660,
2007-10,21.392,
2008-01,22.863,
2008-04,25.620,
2008-07,27.040,
2008-10,29.234,
2009-01,30.092,
2009-04,30.775,
2009-07,31.042,
2009-10,31.724,
2010-01,31.823,
2010-04,31.840,
2010-07,31.612,
2010-10,31.945,
2011-01,31.773,
2011-04,31.699,
2011-07,31.765,
2011-10,32.140,
2012-01,32.407,
2012-04,32.134,
2012-07,32.095,
2012-10,32.089,
2013-01,31.793,
2013-04,31.700,
2013-07,31.949,
2013-10,32.444,
2014-01,32.446,
2014-04,32.530,
2014-07,32.815,
