"",BBK01.OEAA25O,BBK01.OEAA25O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:34,
2002-01,18.024,
2002-04,18.781,
2002-07,18.780,
2002-10,18.459,
2003-01,18.055,
2003-04,17.210,
2003-07,15.936,
2003-10,16.146,
2004-01,16.100,
2004-04,16.144,
2004-07,16.091,
2004-10,15.653,
2005-01,17.344,
2005-04,17.312,
2005-07,17.336,
2005-10,17.157,
2006-01,17.138,
2006-04,17.176,
2006-07,17.192,
2006-10,17.231,
2007-01,17.197,
2007-04,17.143,
2007-07,17.064,
2007-10,16.868,
2008-01,16.863,
2008-04,16.890,
2008-07,16.635,
2008-10,16.673,
2009-01,16.542,
2009-04,16.723,
2009-07,16.682,
2009-10,16.733,
2010-01,16.633,
2010-04,16.712,
2010-07,16.921,
2010-10,16.866,
2011-01,16.596,
2011-04,16.652,
2011-07,16.692,
2011-10,16.697,
2012-01,16.738,
2012-04,17.428,
2012-07,17.408,
2012-10,17.651,
2013-01,17.378,
2013-04,17.310,
2013-07,17.576,
2013-10,17.699,
2014-01,17.595,
2014-04,17.614,
2014-07,17.599,
