"",BBDA1.M.DE.N.IM.S.A.S1.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.S1.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Asia / Absolute value",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:46,
1993-01,3610954,
1993-02,3998491,
1993-03,4016308,
1993-04,3980686,
1993-05,3464537,
1993-06,3811464,
1993-07,3991172,
1993-08,4176727,
1993-09,4379344,
1993-10,4323315,
1993-11,4067606,
1993-12,4091097,
1994-01,4068620,
1994-02,4123312,
1994-03,4782334,
1994-04,3693626,
1994-05,4110943,
1994-06,3769517,
1994-07,3969476,
1994-08,4351583,
1994-09,4293520,
1994-10,4155821,
1994-11,4157124,
1994-12,4654479,
1995-01,3858293,
1995-02,4114324,
1995-03,4626769,
1995-04,3758830,
1995-05,4119153,
1995-06,4248652,
1995-07,3969564,
1995-08,4305274,
1995-09,4513692,
1995-10,4681440,
1995-11,4723113,
1995-12,4275554,
1996-01,4444334,
1996-02,4354785,
1996-03,4709209,
1996-04,4371682,
1996-05,4062281,
1996-06,4058441,
1996-07,4381159,
1996-08,4202775,
1996-09,4545904,
1996-10,4649157,
1996-11,4532192,
1996-12,3973202,
1997-01,5051303,
1997-02,4542965,
1997-03,4364536,
1997-04,5022885,
1997-05,4293049,
1997-06,4685332,
1997-07,4990105,
1997-08,4768312,
1997-09,5474908,
1997-10,5681234,
1997-11,5147645,
1997-12,4873631,
1998-01,5557325,
1998-02,5032811,
1998-03,5486926,
1998-04,5539519,
1998-05,4535813,
1998-06,5338668,
1998-07,5173268,
1998-08,4863044,
1998-09,5399760,
1998-10,5621144,
1998-11,5287037,
1998-12,5130155,
1999-01,4947683,
1999-02,5000177,
1999-03,5647521,
1999-04,5340336,
1999-05,5001650,
1999-06,5345865,
1999-07,5720014,
1999-08,5430847,
1999-09,6245963,
1999-10,6134612,
1999-11,6499022,
1999-12,6441358,
2000-01,6411742,
2000-02,6328532,
2000-03,7561895,
2000-04,6403380,
2000-05,7793240,
2000-06,7161354,
2000-07,7025056,
2000-08,7697307,
2000-09,7796655,
2000-10,8814997,
2000-11,8546767,
2000-12,7628387,
2001-01,7976640,
2001-02,6961574,
2001-03,7316427,
2001-04,7080892,
2001-05,6791457,
2001-06,6568524,
2001-07,6672013,
2001-08,6951362,
2001-09,6611250,
2001-10,7487133,
2001-11,7635011,
2001-12,6167990,
2002-01,6461829,
2002-02,6200388,
2002-03,6459831,
2002-04,6882391,
2002-05,5985770,
2002-06,6442529,
2002-07,6525401,
2002-08,6740217,
2002-09,6782519,
2002-10,7644606,
2002-11,7284360,
2002-12,6482090,
2003-01,7693987,
2003-02,6590853,
2003-03,6945779,
2003-04,6984990,
2003-05,6438747,
2003-06,6735401,
2003-07,6622409,
2003-08,6324187,
2003-09,7175470,
2003-10,8103264,
2003-11,7809062,
2003-12,7358556,
2004-01,7307491,
2004-02,7286177,
2004-03,7518069,
2004-04,7816326,
2004-05,7627331,
2004-06,7713805,
2004-07,8157213,
2004-08,8106361,
2004-09,8834215,
2004-10,9340137,
2004-11,9884391,
2004-12,8585664,
2005-01,8499658,
2005-02,7518455,
2005-03,7931059,
2005-04,8430679,
2005-05,8518447,
2005-06,8780388,
2005-07,8942858,
2005-08,9075911,
2005-09,9678894,
2005-10,9948763,
2005-11,10575427,
2005-12,11403231,
2006-01,10621836,
2006-02,10061996,
2006-03,10718156,
2006-04,9929129,
2006-05,10246634,
2006-06,10202500,
2006-07,10215199,
2006-08,10138705,
2006-09,11273352,
2006-10,11721951,
2006-11,12542433,
2006-12,11269954,
2007-01,11726934,
2007-02,11713167,
2007-03,11483328,
2007-04,10641273,
2007-05,10145492,
2007-06,10308083,
2007-07,10999614,
2007-08,12144123,
2007-09,11464054,
2007-10,12641289,
2007-11,11756931,
2007-12,11387064,
2008-01,12157484,
2008-02,11197298,
2008-03,11139967,
2008-04,11031437,
2008-05,10540202,
2008-06,10871816,
2008-07,11968241,
2008-08,11759645,
2008-09,12385270,
2008-10,13327403,
2008-11,12769838,
2008-12,11436656,
2009-01,11000985,
2009-02,10136654,
2009-03,9628609,
2009-04,9594351,
2009-05,8585803,
2009-06,9091765,
2009-07,10322592,
2009-08,9976274,
2009-09,11861641,
2009-10,11207527,
2009-11,10865409,
2009-12,10551754,
2010-01,11057987,
2010-02,10735072,
2010-03,14214681,
2010-04,11924839,
2010-05,13167752,
2010-06,14474993,
2010-07,13770853,
2010-08,14880511,
2010-09,15357352,
2010-10,14503971,
2010-11,16034644,
2010-12,13400747,
2011-01,14771364,
2011-02,13810701,
2011-03,14397735,
2011-04,13826912,
2011-05,14351787,
2011-06,13615888,
2011-07,14609037,
2011-08,15408516,
2011-09,14822167,
2011-10,15378688,
2011-11,14979748,
2011-12,13142481,
2012-01,14558403,
2012-02,14309082,
2012-03,13966520,
2012-04,12720882,
2012-05,13531590,
2012-06,13932821,
2012-07,13887094,
2012-08,15311082,
2012-09,14069451,
2012-10,15040605,
2012-11,14195093,
2012-12,12350032,
2013-01,15225859,
2013-02,13010061,
2013-03,12651970,
2013-04,13314152,
2013-05,12811104,
2013-06,12691575,
2013-07,14718080,
2013-08,14099747,
2013-09,14311068,
2013-10,14441194,
2013-11,13571250,
2013-12,12114416,
2014-01,14919514,
2014-02,13049638,
2014-03,13739978,
2014-04,12889986,
2014-05,13165916,
2014-06,13487644,
2014-07,14563049,
2014-08,14533268,
2014-09,15715245,
2014-10,15454646,
2014-11,14259982,
2014-12,13574683,
