"",BBK01.OECB22G,BBK01.OECB22G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:51,
2002-01,0.091,
2002-04,0.077,
2002-07,0.171,
2002-10,0.171,
2003-01,0.237,
2003-04,0.277,
2003-07,0.339,
2003-10,0.236,
2004-01,0.248,
2004-04,0.198,
2004-07,0.170,
2004-10,0.171,
2005-01,0.184,
2005-04,0.116,
2005-07,0.112,
2005-10,0.135,
2006-01,0.195,
2006-04,0.062,
2006-07,0.074,
2006-10,0.057,
2007-01,0.032,
2007-04,0.042,
2007-07,0.031,
2007-10,0.030,
2008-01,0.029,
2008-04,0.024,
2008-07,0.037,
2008-10,0.027,
2009-01,0.060,
2009-04,0.062,
2009-07,0.034,
2009-10,0.003,
2010-01,0.003,
2010-04,0.005,
2010-07,0.003,
2010-10,0.006,
2011-01,0.008,
2011-04,0.001,
2011-07,-,Nothing exists
2011-10,-,Nothing exists
2012-01,0.012,
2012-04,-,Nothing exists
2012-07,-,Nothing exists
2012-10,0.002,
2013-01,0.004,
2013-04,0.002,
2013-07,0.002,
2013-10,0.004,
2014-01,0.076,
2014-04,0.070,
2014-07,0.065,
