"",BBK01.OEYB11N,BBK01.OEYB11N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:30,
2002-01,4.469,
2002-04,4.173,
2002-07,4.347,
2002-10,4.377,
2003-01,5.515,
2003-04,4.871,
2003-07,4.698,
2003-10,3.777,
2004-01,3.751,
2004-04,3.646,
2004-07,3.699,
2004-10,3.431,
2005-01,3.559,
2005-04,3.732,
2005-07,4.099,
2005-10,4.441,
2006-01,4.576,
2006-04,5.072,
2006-07,5.639,
2006-10,5.330,
2007-01,6.040,
2007-04,6.215,
2007-07,6.760,
2007-10,7.525,
2008-01,7.730,
2008-04,7.874,
2008-07,6.812,
2008-10,6.780,
2009-01,6.701,
2009-04,6.723,
2009-07,6.991,
2009-10,6.877,
2010-01,6.555,
2010-04,6.352,
2010-07,6.173,
2010-10,6.154,
2011-01,5.815,
2011-04,5.197,
2011-07,4.922,
2011-10,5.411,
2012-01,6.022,
2012-04,5.777,
2012-07,5.096,
2012-10,4.167,
2013-01,3.894,
2013-04,3.777,
2013-07,3.248,
2013-10,3.396,
2014-01,3.341,
2014-04,3.468,
2014-07,3.315,
