"",BBK01.OELL04N,BBK01.OELL04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:01,
2002-01,7.951,
2002-04,7.678,
2002-07,7.744,
2002-10,7.699,
2003-01,7.796,
2003-04,7.649,
2003-07,7.265,
2003-10,7.071,
2004-01,6.936,
2004-04,6.689,
2004-07,6.506,
2004-10,6.396,
2005-01,6.762,
2005-04,7.321,
2005-07,7.685,
2005-10,7.674,
2006-01,7.687,
2006-04,7.378,
2006-07,7.516,
2006-10,7.447,
2007-01,7.831,
2007-04,8.190,
2007-07,8.826,
2007-10,9.399,
2008-01,10.531,
2008-04,11.560,
2008-07,12.251,
2008-10,14.048,
2009-01,12.382,
2009-04,10.669,
2009-07,9.237,
2009-10,7.812,
2010-01,7.179,
2010-04,6.651,
2010-07,6.296,
2010-10,6.393,
2011-01,6.354,
2011-04,6.578,
2011-07,6.897,
2011-10,7.114,
2012-01,7.142,
2012-04,6.900,
2012-07,6.485,
2012-10,6.040,
2013-01,5.721,
2013-04,5.444,
2013-07,5.148,
2013-10,5.206,
2014-01,4.942,
2014-04,4.918,
2014-07,4.840,
