"",BBK01.OECL08P,BBK01.OECL08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:09,
2002-01,0.162,
2002-04,0.122,
2002-07,0.120,
2002-10,0.133,
2003-01,0.127,
2003-04,0.125,
2003-07,0.144,
2003-10,0.149,
2004-01,0.145,
2004-04,0.147,
2004-07,0.171,
2004-10,0.191,
2005-01,0.550,
2005-04,0.549,
2005-07,0.544,
2005-10,0.535,
2006-01,0.530,
2006-04,0.518,
2006-07,0.501,
2006-10,0.489,
2007-01,0.499,
2007-04,0.487,
2007-07,0.482,
2007-10,0.489,
2008-01,0.483,
2008-04,0.501,
2008-07,0.487,
2008-10,0.490,
2009-01,0.509,
2009-04,0.553,
2009-07,0.580,
2009-10,0.600,
2010-01,0.614,
2010-04,0.608,
2010-07,0.609,
2010-10,0.621,
2011-01,0.616,
2011-04,0.594,
2011-07,0.585,
2011-10,0.595,
2012-01,0.651,
2012-04,0.636,
2012-07,0.627,
2012-10,0.636,
2013-01,0.630,
2013-04,0.617,
2013-07,0.594,
2013-10,0.587,
2014-01,0.568,
2014-04,0.556,
2014-07,0.566,
