"",BBK01.OEAE35Q,BBK01.OEAE35Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:31,
2002-01,0.224,
2002-04,0.224,
2002-07,0.226,
2002-10,0.258,
2003-01,0.267,
2003-04,0.268,
2003-07,0.260,
2003-10,0.296,
2004-01,0.294,
2004-04,0.501,
2004-07,0.493,
2004-10,0.490,
2005-01,0.482,
2005-04,0.482,
2005-07,0.513,
2005-10,0.559,
2006-01,0.611,
2006-04,0.625,
2006-07,0.638,
2006-10,0.680,
2007-01,0.702,
2007-04,0.677,
2007-07,0.739,
2007-10,0.718,
2008-01,0.564,
2008-04,0.565,
2008-07,0.557,
2008-10,0.598,
2009-01,0.562,
2009-04,0.517,
2009-07,0.539,
2009-10,0.538,
2010-01,0.470,
2010-04,0.454,
2010-07,0.372,
2010-10,0.358,
2011-01,0.321,
2011-04,0.286,
2011-07,0.275,
2011-10,0.274,
2012-01,0.261,
2012-04,0.201,
2012-07,0.188,
2012-10,0.156,
2013-01,0.150,
2013-04,0.165,
2013-07,0.159,
2013-10,0.136,
2014-01,0.133,
2014-04,0.138,
2014-07,0.138,
