"",BBFB1.M.N.DE.W1.S1.S1.T.D.D41.P.F3.L._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D41.P.F3.L._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Portfolio investment / Interest on Debt securities / Long-term / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:22,
1991-01,667.881,
1991-02,687.542,
1991-03,734.125,
1991-04,735.426,
1991-05,769.099,
1991-06,805.836,
1991-07,799.264,
1991-08,808.925,
1991-09,821.451,
1991-10,886.150,
1991-11,887.019,
1991-12,895.980,
1992-01,876.479,
1992-02,910.072,
1992-03,917.044,
1992-04,946.188,
1992-05,948.271,
1992-06,963.463,
1992-07,964.305,
1992-08,1044.659,
1992-09,1091.281,
1992-10,1135.186,
1992-11,1237.383,
1992-12,1282.900,
1993-01,1362.569,
1993-02,1479.899,
1993-03,1547.335,
1993-04,1596.396,
1993-05,1628.153,
1993-06,1673.882,
1993-07,1728.534,
1993-08,1762.308,
1993-09,1755.729,
1993-10,1786.502,
1993-11,1787.161,
1993-12,1754.069,
1994-01,1767.483,
1994-02,1813.891,
1994-03,1782.614,
1994-04,1749.963,
1994-05,1742.160,
1994-06,1740.689,
1994-07,1730.652,
1994-08,1754.203,
1994-09,1740.721,
1994-10,1756.398,
1994-11,1775.550,
1994-12,1843.248,
1995-01,1882.928,
1995-02,1847.224,
1995-03,1877.187,
1995-04,1924.599,
1995-05,1968.837,
1995-06,1991.607,
1995-07,2020.338,
1995-08,2022.899,
1995-09,2075.651,
1995-10,2068.718,
1995-11,2085.396,
1995-12,2108.468,
1996-01,2093.635,
1996-02,2110.998,
1996-03,2109.579,
1996-04,2138.562,
1996-05,2120.459,
1996-06,2154.704,
1996-07,2157.990,
1996-08,2145.606,
1996-09,2175.721,
1996-10,2195.347,
1996-11,2186.764,
1996-12,2186.263,
1997-01,2234.979,
1997-02,2293.708,
1997-03,2293.313,
