"",BBK01.OEAH95I,BBK01.OEAH95I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:54,
2002-01,0.190,
2002-04,0.170,
2002-07,0.169,
2002-10,0.169,
2003-01,0.165,
2003-04,0.166,
2003-07,0.156,
2003-10,0.155,
2004-01,0.152,
2004-04,0.151,
2004-07,0.152,
2004-10,0.149,
2005-01,0.146,
2005-04,0.144,
2005-07,0.139,
2005-10,0.145,
2006-01,0.144,
2006-04,0.155,
2006-07,0.157,
2006-10,0.157,
2007-01,0.170,
2007-04,0.173,
2007-07,0.183,
2007-10,0.193,
2008-01,0.204,
2008-04,0.204,
2008-07,0.216,
2008-10,0.259,
2009-01,0.275,
2009-04,0.272,
2009-07,0.269,
2009-10,0.257,
2010-01,0.268,
2010-04,0.287,
2010-07,0.301,
2010-10,0.317,
2011-01,0.320,
2011-04,0.311,
2011-07,0.283,
2011-10,0.301,
2012-01,0.311,
2012-04,0.333,
2012-07,0.344,
2012-10,0.345,
2013-01,0.333,
2013-04,0.325,
2013-07,0.318,
2013-10,0.310,
2014-01,0.301,
2014-04,0.299,
2014-07,0.288,
