"",BBFB1.Q.N.DE.KR.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.KR.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"","Financial account / Net domestic financial investment abroad / Direct investment / Korea, Republic of",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:01,
1991-01,6.140,
1991-04,20.682,
1991-07,22.220,
1991-10,9.303,
1992-01,3.046,
1992-04,13.560,
1992-07,22.078,
1992-10,12.682,
1993-01,11.562,
1993-04,8.034,
1993-07,12.291,
1993-10,19.729,
1994-01,5.745,
1994-04,13.574,
1994-07,10.379,
1994-10,11.444,
1995-01,11.592,
1995-04,17.035,
1995-07,14.176,
1995-10,44.586,
1996-01,9.075,
1996-04,8.188,
1996-07,54.049,
1996-10,43.050,
1997-01,-84.656,
1997-04,20.350,
1997-07,-84.037,
1997-10,100.490,
1998-01,143.022,
1998-04,821.090,
1998-07,424.064,
1998-10,84.651,
1999-01,292.684,
1999-04,-134.526,
1999-07,345.473,
1999-10,-14.363,
2000-01,27.917,
2000-04,326.555,
2000-07,334.335,
2000-10,912.451,
2001-01,87.776,
2001-04,122.113,
2001-07,-37.657,
2001-10,132.869,
2002-01,180.181,
2002-04,65.551,
2002-07,11.231,
2002-10,-76.794,
2003-01,118.651,
2003-04,-39.298,
2003-07,65.670,
2003-10,170.066,
2004-01,202.120,
2004-04,139.519,
2004-07,-497.378,
2004-10,175.368,
2005-01,309.709,
2005-04,78.424,
2005-07,424.485,
2005-10,350.272,
2006-01,-187.188,
2006-04,1.437,
2006-07,178.929,
2006-10,104.787,
2007-01,157.931,
2007-04,102.174,
2007-07,85.038,
2007-10,1.662,
2008-01,163.370,
2008-04,210.727,
2008-07,-357.041,
2008-10,-98.163,
2009-01,-11.063,
2009-04,3.227,
2009-07,349.583,
2009-10,184.060,
2010-01,90.487,
2010-04,-72.782,
2010-07,240.253,
2010-10,427.044,
2011-01,300.584,
2011-04,-153.850,
2011-07,104.859,
2011-10,240.164,
2012-01,38.705,
2012-04,-24.775,
2012-07,10.953,
2012-10,188.778,
2013-01,-281.519,
2013-04,-13.308,
2013-07,26.589,
2013-10,236.496,
2014-01,382.315,Provisional value
2014-04,48.870,Provisional value
2014-07,147.270,Provisional value
2014-10,318.483,Provisional value
