"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.AU.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.AU.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Australia / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:31,
2009-09,364,
2009-10,378,
2009-11,447,
2009-12,398,
2010-01,327,
2010-02,325,
2010-03,319,
2010-04,324,
2010-05,315,
2010-06,299,
2010-07,295,
2010-08,252,
2010-09,253,
2010-10,253,
2010-11,245,
2010-12,250,
2011-01,241,
2011-02,231,
2011-03,236,
2011-04,261,
2011-05,263,
2011-06,221,
2011-07,205,
2011-08,196,
2011-09,185,
2011-10,188,
2011-11,163,
2011-12,180,
2012-01,201,
2012-02,268,
2012-03,281,
2012-04,313,
2012-05,297,
2012-06,292,
2012-07,316,
2012-08,337,
2012-09,339,
2012-10,312,
2012-11,287,
2012-12,264,
2013-01,267,
2013-02,263,
2013-03,275,
2013-04,284,
2013-05,320,
2013-06,303,
2013-07,308,
2013-08,325,
2013-09,355,
2013-10,357,
2013-11,411,
2013-12,400,
2014-01,399,
2014-02,388,
2014-03,401,
2014-04,434,
2014-05,460,
2014-06,485,
2014-07,524,
2014-08,528,
2014-09,553,
2014-10,573,
2014-11,562,
