"",BBK01.CEFA02,BBK01.CEFA02_FLAGS
"",short-term debt securities                                                  debtor: Total           creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:59,
1999-01,19.2,
1999-04,19.6,
1999-07,25.9,
1999-10,34.9,
2000-01,36.2,
2000-04,38.6,
2000-07,39.1,
2000-10,39.3,
2001-01,36.6,
2001-04,30.5,
2001-07,29.6,
2001-10,20.4,
2002-01,22.3,
2002-04,21.6,
2002-07,27.8,
2002-10,24.5,
2003-01,29.4,
2003-04,27.7,
2003-07,26.4,
2003-10,25.8,
2004-01,23.5,
2004-04,27.2,
2004-07,31.9,
2004-10,28.7,
2005-01,24.9,
2005-04,25.3,
2005-07,29.8,
2005-10,29.3,
2006-01,34.8,
2006-04,44.5,
2006-07,43.4,
2006-10,41.0,
2007-01,51.3,
2007-04,61.6,
2007-07,66.7,
2007-10,83.2,
2008-01,86.5,
2008-04,104.3,
2008-07,107.5,
2008-10,101.9,
2009-01,74.2,
2009-04,61.6,
2009-07,59.2,
2009-10,63.0,
2010-01,57.8,
2010-04,65.3,
2010-07,62.6,
2010-10,63.2,
2011-01,59.7,
2011-04,59.8,
2011-07,56.6,
2011-10,39.6,
2012-01,42.7,
2012-04,40.7,
2012-07,37.5,
2012-10,30.4,
2013-01,29.7,
2013-04,31.1,
2013-07,30.7,
2013-10,28.6,
2014-01,33.4,
2014-04,35.7,
2014-07,30.7,
