"",BBK01.OEHB18J,BBK01.OEHB18J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:34,
2002-01,0.197,
2002-04,0.199,
2002-07,0.206,
2002-10,0.193,
2003-01,0.182,
2003-04,0.183,
2003-07,0.182,
2003-10,0.170,
2004-01,0.154,
2004-04,0.154,
2004-07,0.156,
2004-10,0.145,
2005-01,0.138,
2005-04,0.141,
2005-07,0.163,
2005-10,0.154,
2006-01,0.141,
2006-04,0.125,
2006-07,0.116,
2006-10,0.120,
2007-01,0.114,
2007-04,0.109,
2007-07,0.110,
2007-10,0.112,
2008-01,0.109,
2008-04,0.114,
2008-07,0.115,
2008-10,0.114,
2009-01,0.109,
2009-04,0.106,
2009-07,0.096,
2009-10,0.098,
2010-01,0.093,
2010-04,0.095,
2010-07,0.091,
2010-10,0.092,
2011-01,0.089,
2011-04,0.092,
2011-07,0.091,
2011-10,0.091,
2012-01,0.094,
2012-04,0.087,
2012-07,0.084,
2012-10,0.082,
2013-01,0.080,
2013-04,0.079,
2013-07,0.084,
2013-10,0.082,
2014-01,0.079,
2014-04,0.080,
2014-07,0.080,
