"",BBK01.OELB11G,BBK01.OELB11G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:16,
2002-01,1.494,
2002-04,1.455,
2002-07,1.419,
2002-10,1.356,
2003-01,1.289,
2003-04,1.249,
2003-07,1.236,
2003-10,1.206,
2004-01,1.148,
2004-04,1.143,
2004-07,1.096,
2004-10,1.030,
2005-01,1.009,
2005-04,1.006,
2005-07,1.000,
2005-10,1.020,
2006-01,1.015,
2006-04,1.029,
2006-07,1.054,
2006-10,1.085,
2007-01,1.138,
2007-04,1.162,
2007-07,1.182,
2007-10,1.218,
2008-01,1.231,
2008-04,1.245,
2008-07,1.352,
2008-10,1.371,
2009-01,1.387,
2009-04,1.424,
2009-07,1.445,
2009-10,1.467,
2010-01,1.433,
2010-04,1.423,
2010-07,1.433,
2010-10,1.461,
2011-01,1.475,
2011-04,1.478,
2011-07,1.498,
2011-10,1.544,
2012-01,1.599,
2012-04,1.619,
2012-07,1.665,
2012-10,1.651,
2013-01,1.708,
2013-04,1.801,
2013-07,1.847,
2013-10,1.893,
2014-01,1.926,
2014-04,1.966,
2014-07,2.042,
