"",BBK01.OEAH88J,BBK01.OEAH88J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:25,
2002-01,0.421,
2002-04,0.333,
2002-07,0.373,
2002-10,0.398,
2003-01,0.322,
2003-04,0.442,
2003-07,0.476,
2003-10,0.332,
2004-01,0.397,
2004-04,0.401,
2004-07,0.456,
2004-10,0.339,
2005-01,0.164,
2005-04,0.190,
2005-07,0.259,
2005-10,0.274,
2006-01,0.366,
2006-04,0.335,
2006-07,0.389,
2006-10,0.421,
2007-01,0.478,
2007-04,0.524,
2007-07,0.639,
2007-10,0.536,
2008-01,0.499,
2008-04,0.470,
2008-07,0.603,
2008-10,0.529,
2009-01,0.485,
2009-04,0.474,
2009-07,0.457,
2009-10,0.417,
2010-01,0.422,
2010-04,0.687,
2010-07,0.622,
2010-10,0.832,
2011-01,0.726,
2011-04,0.648,
2011-07,0.716,
2011-10,0.713,
2012-01,0.590,
2012-04,0.521,
2012-07,0.403,
2012-10,0.177,
2013-01,0.121,
2013-04,0.095,
2013-07,0.074,
2013-10,0.073,
2014-01,0.070,
2014-04,0.071,
2014-07,0.069,
