"",BBK01.OEYM05N,BBK01.OEYM05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:58,
2002-01,1.002,
2002-04,0.988,
2002-07,0.962,
2002-10,0.955,
2003-01,1.116,
2003-04,1.055,
2003-07,1.139,
2003-10,0.999,
2004-01,0.987,
2004-04,0.956,
2004-07,0.989,
2004-10,0.999,
2005-01,1.077,
2005-04,1.086,
2005-07,1.114,
2005-10,1.172,
2006-01,1.188,
2006-04,1.271,
2006-07,1.303,
2006-10,1.341,
2007-01,1.427,
2007-04,1.427,
2007-07,1.413,
2007-10,1.357,
2008-01,1.319,
2008-04,1.299,
2008-07,1.280,
2008-10,1.295,
2009-01,1.293,
2009-04,1.349,
2009-07,1.465,
2009-10,1.448,
2010-01,3.907,
2010-04,5.655,
2010-07,5.603,
2010-10,5.541,
2011-01,5.500,
2011-04,5.307,
2011-07,5.725,
2011-10,5.843,
2012-01,5.859,
2012-04,5.605,
2012-07,5.512,
2012-10,4.085,
2013-01,4.469,
2013-04,4.540,
2013-07,3.889,
2013-10,3.886,
2014-01,3.903,
2014-04,3.865,
2014-07,3.955,
