"",BBFN1.M.DE.N.1.A.VE.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.VE.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Venezuela,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:18,
1982-09,0.079,
1982-10,0.060,
1982-11,0.052,
1982-12,0.055,
1983-01,0.057,
1983-02,0.065,
1983-03,0.069,
1983-04,0.066,
1983-05,0.067,
1983-06,0.070,
1983-07,0.070,
1983-08,0.067,
1983-09,0.077,
1983-10,0.123,
1983-11,0.125,
1983-12,0.134,
1984-01,0.135,
1984-02,0.123,
1984-03,0.124,
1984-04,0.133,
1984-05,0.128,
1984-06,0.127,
1984-07,0.125,
1984-08,0.133,
1984-09,0.133,
1984-10,0.134,
1984-11,0.143,
1984-12,0.129,
1985-01,0.126,
1985-02,0.117,
1985-03,0.118,
1985-04,0.119,
1985-05,0.117,
1985-06,0.117,
1985-07,0.116,
1985-08,0.116,
1985-09,0.117,
1985-10,0.116,
1985-11,0.115,
1985-12,0.124,
1986-01,0.129,
1986-02,0.134,
1986-03,0.138,
1986-04,0.132,
1986-05,0.156,
1986-06,0.155,
1986-07,0.153,
1986-08,0.161,
1986-09,0.157,
1986-10,0.156,
1986-11,0.155,
1986-12,0.146,
1987-01,0.145,
1987-02,0.039,
1987-03,0.039,
1987-04,0.040,
1987-05,0.046,
1987-06,0.043,
1987-07,0.036,
1987-08,0.038,
1987-09,0.038,
1987-10,0.039,
1987-11,0.040,
1987-12,0.038,
1988-01,0.037,
1988-02,0.032,
1988-03,0.033,
1988-04,0.038,
1988-05,0.037,
1988-06,0.037,
1988-07,0.037,
1988-08,0.037,
1988-09,0.038,
1988-10,0.037,
1988-11,0.038,
1988-12,0.036,
1989-01,0.036,
1989-02,0.036,
1989-03,0.039,
1989-04,0.038,
1989-05,0.041,
1989-06,0.042,
1989-07,0.043,
1989-08,0.043,
1989-09,0.042,
1989-10,0.043,
1989-11,0.043,
1989-12,0.044,
1990-01,0.035,
1990-02,0.034,
1990-03,0.032,
1990-04,0.032,
1990-05,0.032,
1990-06,0.033,
1990-07,0.033,
1990-08,0.032,
1990-09,0.032,
1990-10,0.032,
1990-11,0.033,
1990-12,0.034,
1991-01,0.033,
1991-02,0.032,
1991-03,0.033,
1991-04,0.034,
1991-05,0.032,
1991-06,0.031,
1991-07,0.030,
1991-08,0.034,
1991-09,0.033,
1991-10,0.038,
1991-11,0.039,
1991-12,0.049,
1992-01,0.050,
1992-02,0.053,
1992-03,0.054,
1992-04,0.048,
1992-05,0.050,
1992-06,0.053,
1992-07,0.051,
1992-08,0.052,
1992-09,0.064,
1992-10,0.066,
1992-11,0.068,
1992-12,0.072,
1993-01,0.071,
1993-02,0.061,
1993-03,0.067,
1993-04,0.072,
1993-05,0.072,
1993-06,0.082,
1993-07,0.084,
1993-08,0.081,
1993-09,0.082,
1993-10,0.083,
1993-11,0.088,
1993-12,0.088,
1994-01,0.083,
1994-02,0.080,
1994-03,0.080,
1994-04,0.077,
1994-05,0.071,
1994-06,0.072,
1994-07,0.074,
1994-08,0.072,
1994-09,0.083,
1994-10,0.084,
1994-11,0.082,
1994-12,0.082,
1995-01,0.065,
1995-02,0.051,
1995-03,0.058,
1995-04,0.056,
1995-05,0.057,
1995-06,0.054,
1995-07,0.055,
1995-08,0.054,
1995-09,0.052,
1995-10,0.052,
1995-11,0.050,
1995-12,0.046,
1996-01,0.043,
1996-02,0.042,
1996-03,0.041,
1996-04,0.040,
1996-05,0.040,
1996-06,0.041,
1996-07,0.039,
1996-08,0.039,
1996-09,0.040,
1996-10,0.039,
1996-11,0.039,
1996-12,0.039,
1997-01,0.039,
1997-02,0.038,
1997-03,0.037,
1997-04,0.035,
1997-05,0.034,
1997-06,0.035,
1997-07,0.035,
1997-08,0.035,
1997-09,0.035,
1997-10,0.035,
1997-11,0.040,
1997-12,0.036,
1998-01,0.038,
1998-02,0.041,
1998-03,0.053,
1998-04,0.055,
1998-05,0.052,
1998-06,0.056,
1998-07,0.057,
1998-08,0.056,
1998-09,0.048,
1998-10,0.051,
1998-11,0.051,
1998-12,0.053,
1999-01,0.049,
1999-02,0.052,
1999-03,0.056,
1999-04,0.057,
1999-05,0.059,
1999-06,0.065,
1999-07,0.065,
1999-08,0.067,
1999-09,0.086,
1999-10,0.093,
1999-11,0.100,
1999-12,0.107,
2000-01,0.120,
2000-02,0.130,
2000-03,0.131,
2000-04,0.128,
2000-05,0.130,
2000-06,0.141,
2000-07,0.149,
2000-08,0.178,
2000-09,0.168,
2000-10,0.179,
2000-11,0.173,
2000-12,0.205,
2001-01,0.195,
2001-02,0.198,
2001-03,0.175,
2001-04,0.222,
2001-05,0.212,
2001-06,0.209,
2001-07,0.158,
2001-08,0.157,
2001-09,0.171,
2001-10,0.175,
2001-11,0.173,
2001-12,0.160,
2002-01,0.135,
2002-02,0.138,
2002-03,0.160,
2002-04,0.165,
2002-05,0.176,
2002-06,0.153,
2002-07,0.162,
2002-08,0.159,
2002-09,0.153,
2002-10,0.153,
2002-11,0.148,
2002-12,0.133,
2003-01,0.115,
2003-02,0.099,
2003-03,0.103,
2003-04,0.103,
2003-05,0.091,
2003-06,0.096,
2003-07,0.339,
2003-08,0.096,
2003-09,0.096,
2003-10,0.097,
2003-11,0.099,
2003-12,0.094,
2004-01,0.085,
2004-02,0.084,
2004-03,0.092,
2004-04,0.089,
2004-05,0.109,
2004-06,0.118,
2004-07,0.118,
2004-08,0.087,
2004-09,0.112,
2004-10,0.087,
2004-11,0.115,
2004-12,0.113,
2005-01,0.089,
2005-02,0.094,
2005-03,0.079,
2005-04,0.090,
2005-05,0.093,
2005-06,0.076,
2005-07,0.089,
2005-08,0.088,
2005-09,0.085,
2005-10,0.087,
2005-11,0.298,
2005-12,0.095,
2006-01,0.104,
2006-02,0.123,
2006-03,0.120,
2006-04,0.117,
2006-05,0.094,
2006-06,0.137,
2006-07,0.139,
2006-08,0.120,
2006-09,0.121,
2006-10,0.113,
2006-11,0.112,
2006-12,0.100,
2007-01,0.106,
2007-02,0.105,
2007-03,0.094,
2007-04,0.090,
2007-05,0.078,
2007-06,0.080,
2007-07,0.083,
2007-08,0.091,
2007-09,0.118,
2007-10,0.118,
2007-11,0.108,
2007-12,0.103,
2008-01,0.076,
2008-02,0.074,
2008-03,0.087,
2008-04,0.075,
2008-05,0.076,
2008-06,0.093,
2008-07,0.091,
2008-08,0.094,
2008-09,0.127,
2008-10,0.138,
2008-11,0.169,
2008-12,0.140,
2009-01,0.114,
2009-02,0.132,
2009-03,0.152,
2009-04,0.154,
2009-05,0.147,
2009-06,0.169,
2009-07,0.167,
2009-08,0.185,
2009-09,0.223,
2009-10,0.256,
2009-11,0.250,
2009-12,0.254,
2010-01,0.232,
2010-02,0.213,
2010-03,0.207,
2010-04,0.209,
2010-05,0.223,
2010-06,0.222,
2010-07,0.212,
2010-08,0.222,
2010-09,0.241,
2010-10,0.225,
2010-11,0.210,
2010-12,0.203,
2011-01,0.197,
2011-02,0.189,
2011-03,0.205,
2011-04,0.206,
2011-05,0.217,
2011-06,0.202,
2011-07,0.205,
2011-08,0.179,
2011-09,0.195,
2011-10,0.196,
2011-11,0.212,
2011-12,0.201,
2012-01,0.296,
2012-02,0.303,
2012-03,0.358,
2012-04,0.358,
2012-05,0.400,
2012-06,0.422,
2012-07,0.448,
2012-08,0.460,
2012-09,0.457,
2012-10,0.481,
2012-11,0.448,
2012-12,0.454,
2013-01,0.463,
2013-02,0.429,
2013-03,0.412,
2013-04,0.416,
2013-05,0.448,
2013-06,0.444,
2013-07,0.459,
2013-08,0.533,
2013-09,0.723,
2013-10,0.718,
2013-11,0.746,
2013-12,0.796,
2014-01,0.711,
2014-02,0.781,
2014-03,0.807,
2014-04,0.814,
2014-05,0.821,
2014-06,0.754,
2014-07,0.761,
2014-08,0.752,
2014-09,0.746,
2014-10,0.749,
2014-11,0.779,
2014-12,0.729,
