"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.ES.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.ES.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Spain / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:28,
2009-09,17119,
2009-10,16795,
2009-11,16809,
2009-12,16285,
2010-01,16567,
2010-02,16461,
2010-03,16258,
2010-04,15340,
2010-05,14477,
2010-06,13974,
2010-07,13963,
2010-08,14371,
2010-09,14195,
2010-10,14219,
2010-11,13542,
2010-12,13094,
2011-01,12939,
2011-02,13398,
2011-03,14070,
2011-04,13784,
2011-05,13487,
2011-06,13420,
2011-07,13121,
2011-08,13166,
2011-09,12893,
2011-10,12937,
2011-11,12539,
2011-12,12781,
2012-01,13091,
2012-02,13186,
2012-03,13008,
2012-04,12344,
2012-05,11255,
2012-06,10792,
2012-07,10626,
2012-08,10413,
2012-09,10042,
2012-10,10059,
2012-11,9714,
2012-12,10159,
2013-01,11424,
2013-02,11552,
2013-03,11652,
2013-04,11990,
2013-05,12043,
2013-06,11897,
2013-07,11606,
2013-08,11511,
2013-09,11335,
2013-10,11292,
2013-11,11387,
2013-12,11256,
2014-01,11540,
2014-02,11138,
2014-03,11183,
2014-04,11324,
2014-05,11260,
2014-06,10947,
2014-07,10980,
2014-08,10988,
2014-09,10967,
2014-10,10349,
2014-11,10327,
