"",BBNZ1.Q.DE.N.H.0024.A,BBNZ1.Q.DE.N.H.0024.A_FLAGS
"",Germany / National accounts / Unit labor costs per unit on an hourly basis / Whole economy,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:56,
1991-01,73.71,
1991-04,79.86,
1991-07,81.43,
1991-10,91.89,
1992-01,79.14,
1992-04,84.52,
1992-07,87.90,
1992-10,97.87,
1993-01,84.77,
1993-04,88.74,
1993-07,89.46,
1993-10,100.82,
1994-01,86.50,
1994-04,88.94,
1994-07,89.87,
1994-10,100.83,
1995-01,87.44,
1995-04,91.28,
1995-07,92.64,
1995-10,103.68,
1996-01,89.96,
1996-04,91.51,
1996-07,92.21,
1996-10,103.01,
1997-01,90.21,
1997-04,90.33,
1997-07,90.96,
1997-10,101.84,
1998-01,87.81,
1998-04,91.36,
1998-07,91.98,
1998-10,103.36,
1999-01,89.41,
1999-04,93.05,
1999-07,92.78,
1999-10,102.77,
2000-01,89.56,
2000-04,92.47,
2000-07,93.79,
2000-10,104.80,
2001-01,89.37,
2001-04,92.63,
2001-07,93.24,
2001-10,104.38,
2002-01,91.03,
2002-04,93.11,
2002-07,93.13,
2002-10,104.72,
2003-01,92.10,
2003-04,94.64,
2003-07,94.41,
2003-10,105.22,
2004-01,91.56,
2004-04,94.27,
2004-07,93.98,
2004-10,104.78,
2005-01,92.50,
2005-04,93.76,
2005-07,92.83,
2005-10,103.81,
2006-01,89.16,
2006-04,92.08,
2006-07,91.50,
2006-10,100.89,
2007-01,87.62,
2007-04,91.54,
2007-07,90.39,
2007-10,101.03,
2008-01,88.68,
2008-04,92.45,
2008-07,92.38,
2008-10,106.65,
2009-01,96.99,
2009-04,100.73,
2009-07,98.56,
2009-10,109.65,
2010-01,95.98,
2010-04,98.70,
2010-07,96.76,
2010-10,108.40,
2011-01,94.28,
2011-04,99.66,
2011-07,97.49,
2011-10,110.37,
2012-01,96.26,
2012-04,102.95,
2012-07,101.01,
2012-10,114.02,
2013-01,100.18,
2013-04,104.91,
2013-07,102.50,
2013-10,115.62,
2014-01,100.94,
2014-04,107.02,
2014-07,104.52,
2014-10,117.55,
