"",BBK01.OEAK04R,BBK01.OEAK04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:27,
2002-01,0.203,
2002-04,0.197,
2002-07,0.186,
2002-10,0.188,
2003-01,0.169,
2003-04,0.158,
2003-07,0.157,
2003-10,0.158,
2004-01,0.149,
2004-04,0.138,
2004-07,0.142,
2004-10,0.138,
2005-01,0.126,
2005-04,0.120,
2005-07,0.122,
2005-10,0.119,
2006-01,0.113,
2006-04,0.114,
2006-07,0.119,
2006-10,0.129,
2007-01,0.125,
2007-04,0.158,
2007-07,0.128,
2007-10,0.143,
2008-01,0.158,
2008-04,0.174,
2008-07,0.184,
2008-10,0.191,
2009-01,0.157,
2009-04,0.137,
2009-07,0.117,
2009-10,0.088,
2010-01,0.078,
2010-04,0.070,
2010-07,0.069,
2010-10,0.068,
2011-01,0.071,
2011-04,0.063,
2011-07,0.067,
2011-10,0.076,
2012-01,0.079,
2012-04,0.076,
2012-07,0.069,
2012-10,0.064,
2013-01,0.058,
2013-04,0.059,
2013-07,0.054,
2013-10,0.053,
2014-01,0.051,
2014-04,0.049,
2014-07,0.046,
