"",BBK01.OEHI09V,BBK01.OEHI09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:19,
2002-01,3.196,
2002-04,3.151,
2002-07,3.162,
2002-10,3.207,
2003-01,3.096,
2003-04,2.812,
2003-07,2.620,
2003-10,2.625,
2004-01,2.442,
2004-04,2.214,
2004-07,2.244,
2004-10,2.465,
2005-01,2.641,
2005-04,2.712,
2005-07,2.639,
2005-10,2.637,
2006-01,2.607,
2006-04,2.727,
2006-07,2.829,
2006-10,3.045,
2007-01,3.100,
2007-04,3.068,
2007-07,3.276,
2007-10,3.382,
2008-01,3.232,
2008-04,3.081,
2008-07,3.002,
2008-10,3.100,
2009-01,3.051,
2009-04,3.032,
2009-07,2.863,
2009-10,2.918,
2010-01,2.869,
2010-04,2.756,
2010-07,2.506,
2010-10,2.257,
2011-01,2.217,
2011-04,2.092,
2011-07,1.951,
2011-10,1.857,
2012-01,1.764,
2012-04,1.654,
2012-07,1.545,
2012-10,1.439,
2013-01,1.300,
2013-04,1.108,
2013-07,1.009,
2013-10,0.977,
2014-01,0.941,
2014-04,0.938,
2014-07,0.925,
