"",BBK01.OEBI08T,BBK01.OEBI08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:04,
2002-01,0.953,
2002-04,0.739,
2002-07,0.737,
2002-10,0.795,
2003-01,0.846,
2003-04,0.847,
2003-07,0.880,
2003-10,0.890,
2004-01,0.883,
2004-04,0.881,
2004-07,0.896,
2004-10,0.910,
2005-01,1.670,
2005-04,1.665,
2005-07,1.644,
2005-10,1.664,
2006-01,1.652,
2006-04,1.607,
2006-07,1.563,
2006-10,1.569,
2007-01,1.564,
2007-04,1.544,
2007-07,1.511,
2007-10,1.530,
2008-01,1.517,
2008-04,1.522,
2008-07,1.484,
2008-10,1.464,
2009-01,1.528,
2009-04,1.562,
2009-07,1.648,
2009-10,1.709,
2010-01,1.722,
2010-04,1.716,
2010-07,1.735,
2010-10,1.744,
2011-01,1.730,
2011-04,1.669,
2011-07,1.619,
2011-10,1.623,
2012-01,1.709,
2012-04,1.682,
2012-07,1.702,
2012-10,1.764,
2013-01,1.740,
2013-04,1.732,
2013-07,1.724,
2013-10,1.728,
2014-01,1.710,
2014-04,1.690,
2014-07,1.724,
