"",BBK01.OEXB15O,BBK01.OEXB15O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:13,
2002-01,0.112,
2002-04,0.111,
2002-07,0.118,
2002-10,0.114,
2003-01,0.113,
2003-04,0.112,
2003-07,0.114,
2003-10,0.115,
2004-01,0.117,
2004-04,0.119,
2004-07,0.127,
2004-10,-0.151,
2005-01,0.139,
2005-04,0.141,
2005-07,0.137,
2005-10,0.142,
2006-01,0.140,
2006-04,0.142,
2006-07,0.143,
2006-10,0.148,
2007-01,0.149,
2007-04,0.152,
2007-07,0.149,
2007-10,0.155,
2008-01,0.149,
2008-04,0.150,
2008-07,0.145,
2008-10,0.139,
2009-01,0.138,
2009-04,0.136,
2009-07,0.132,
2009-10,0.133,
2010-01,0.129,
2010-04,0.131,
2010-07,0.174,
2010-10,0.172,
2011-01,0.138,
2011-04,0.138,
2011-07,0.139,
2011-10,0.137,
2012-01,0.152,
2012-04,0.158,
2012-07,0.154,
2012-10,0.155,
2013-01,0.152,
2013-04,0.147,
2013-07,0.143,
2013-10,0.130,
2014-01,0.128,
2014-04,0.130,
2014-07,0.129,
