"",BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.P.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.P.F._Z._T._X.N_FLAGS
"",Assets (Net Acquisition of) / Financial account / Total financial assets/liabilities / Rest of the World / Other sectors than MFIs and general government / Portfolio investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:30,
1991-01,-174.691,
1991-02,1460.687,
1991-03,1329.949,
1991-04,1323.988,
1991-05,2531.713,
1991-06,473.254,
1991-07,946.735,
1991-08,1299.850,
1991-09,-29.444,
1991-10,871.955,
1991-11,1876.985,
1991-12,-3286.136,
1992-01,1580.339,
1992-02,4797.991,
1992-03,-428.724,
1992-04,2549.178,
1992-05,1054.052,
1992-06,1032.691,
1992-07,2869.366,
1992-08,1406.186,
1992-09,-1012.528,
1992-10,5761.862,
1992-11,5256.966,
1992-12,2479.774,
1993-01,6754.134,
1993-02,6834.977,
1993-03,1010.436,
1993-04,6213.753,
1993-05,3382.977,
1993-06,-101.543,
1993-07,2136.492,
1993-08,2858.991,
1993-09,-2525.494,
1993-10,1144.347,
1993-11,-2211.943,
1993-12,-14733.012,
1994-01,2219.222,
1994-02,5153.719,
1994-03,279.027,
1994-04,2568.884,
1994-05,2426.344,
1994-06,-538.219,
1994-07,1840.358,
1994-08,4430.916,
1994-09,2284.843,
1994-10,2349.055,
1994-11,2716.056,
1994-12,5581.197,
1995-01,-1276.435,
1995-02,1454.041,
1995-03,-3373.127,
1995-04,1951.185,
1995-05,2241.807,
1995-06,-2886.034,
1995-07,-481.334,
1995-08,1610.712,
1995-09,-385.423,
1995-10,655.153,
1995-11,1423.246,
1995-12,2332.746,
1996-01,3773.495,
1996-02,3962.914,
1996-03,-2115.333,
1996-04,4153.723,
1996-05,617.248,
1996-06,-3569.643,
1996-07,3631.715,
1996-08,-453.236,
1996-09,-3582.823,
1996-10,1268.245,
1996-11,1045.573,
1996-12,2496.567,
1997-01,8296.338,
1997-02,7095.418,
1997-03,-3363.110,
1997-04,6809.401,
1997-05,6530.154,
1997-06,5577.228,
1997-07,14503.413,
1997-08,5459.607,
1997-09,-1140.045,
1997-10,5669.643,
1997-11,3715.820,
1997-12,-1854.657,
1998-01,7397.488,
1998-02,14922.642,
1998-03,7175.800,
1998-04,10527.831,
1998-05,14151.837,
1998-06,-2868.951,
1998-07,10606.521,
1998-08,1909.798,
1998-09,11766.155,
1998-10,11507.249,
1998-11,12201.080,
1998-12,-11620.592,
1999-01,20487.900,
1999-02,15963.602,
1999-03,16415.286,
1999-04,13316.086,
1999-05,10885.023,
1999-06,-8910.151,
1999-07,15792.303,
1999-08,11080.051,
1999-09,-3021.731,
1999-10,5939.632,
1999-11,12897.232,
1999-12,11554.403,
2000-01,21265.219,
2000-02,50462.995,
2000-03,234.692,
2000-04,5533.655,
2000-05,12477.017,
2000-06,7314.309,
2000-07,19979.381,
2000-08,15343.218,
2000-09,10270.285,
2000-10,10224.109,
2000-11,11370.641,
2000-12,-10329.503,
2001-01,27447.339,
2001-02,13986.927,
2001-03,-19715.521,
2001-04,23747.610,
2001-05,15070.568,
2001-06,-9780.826,
2001-07,10132.883,
2001-08,-2361.488,
2001-09,-6921.996,
2001-10,10179.374,
2001-11,8070.300,
2001-12,11725.768,
2002-01,10662.829,
2002-02,8083.436,
2002-03,3045.068,
2002-04,6885.870,
2002-05,8462.956,
2002-06,-71.151,
2002-07,5512.224,
2002-08,-2329.357,
2002-09,-2762.495,
2002-10,4335.640,
2002-11,-196.895,
2002-12,8750.346,
2003-01,-912.984,
2003-02,4178.808,
2003-03,-3781.008,
2003-04,-1388.350,
2003-05,11814.188,
2003-06,3369.908,
2003-07,1146.388,
2003-08,5116.378,
2003-09,-5913.125,
2003-10,3277.738,
2003-11,-1226.312,
2003-12,-5741.583,
2004-01,2393.201,
2004-02,1789.763,
2004-03,4204.671,
2004-04,3696.326,
2004-05,3243.650,
2004-06,6477.565,
2004-07,9395.399,
2004-08,1095.222,
2004-09,1735.941,
2004-10,-1671.553,
2004-11,1083.784,
2004-12,-3371.076,
2005-01,4351.748,
2005-02,15492.049,
2005-03,8227.015,
2005-04,411.834,
2005-05,6060.156,
2005-06,13691.339,
2005-07,5158.069,
2005-08,6297.481,
2005-09,14770.202,
2005-10,3719.331,
2005-11,14121.394,
2005-12,8350.957,
2006-01,15466.260,
2006-02,13841.386,
2006-03,2955.972,
2006-04,2210.918,
2006-05,-1996.531,
2006-06,2718.906,
2006-07,1519.375,
2006-08,-737.016,
2006-09,2411.275,
2006-10,-526.024,
2006-11,6544.521,
2006-12,245.318,
2007-01,6551.086,
2007-02,2426.182,
2007-03,-161.948,
2007-04,2507.098,
2007-05,13076.306,
2007-06,-968.957,
2007-07,-592.664,
2007-08,-6539.407,
2007-09,721.967,
2007-10,3835.354,
2007-11,-8441.815,
2007-12,-5652.071,
2008-01,4972.753,
2008-02,9978.112,
2008-03,11834.039,
2008-04,148.600,
2008-05,18377.967,
2008-06,3358.543,
2008-07,4677.244,
2008-08,5498.722,
2008-09,-9428.736,
2008-10,-14604.004,
2008-11,519.197,
2008-12,1885.922,
2009-01,16705.997,
2009-02,6719.534,
2009-03,11851.811,
2009-04,4506.606,
2009-05,15408.041,
2009-06,14882.310,
2009-07,19228.160,
2009-08,2422.205,
2009-09,10448.843,
2009-10,9820.914,
2009-11,9096.012,
2009-12,5675.268,
2010-01,9955.820,
2010-02,1503.379,
2010-03,8995.039,
2010-04,1264.751,
2010-05,24466.842,
2010-06,2178.988,
2010-07,12870.595,
2010-08,7363.020,
2010-09,16610.865,
2010-10,79816.165,
2010-11,7842.762,
2010-12,-8260.437,
2011-01,5935.220,
2011-02,12186.084,
2011-03,4162.509,
2011-04,7744.680,
2011-05,-546.421,
2011-06,895.569,
2011-07,3306.931,
2011-08,-9548.702,
2011-09,-4038.859,
2011-10,5779.143,
2011-11,1130.103,
2011-12,2999.659,
2012-01,19541.648,
2012-02,11693.679,
2012-03,5130.378,
2012-04,3085.534,
2012-05,13164.813,
2012-06,5001.781,
2012-07,18583.348,
2012-08,5809.566,
2012-09,10187.539,
2012-10,14155.374,
2012-11,14391.056,
2012-12,14242.878,
2013-01,15220.311,
2013-02,16976.682,
2013-03,13912.251,
2013-04,9974.116,
2013-05,18581.219,
2013-06,6087.139,
2013-07,16881.869,
2013-08,12133.877,
2013-09,6897.735,
2013-10,13264.665,
2013-11,9625.496,
2013-12,3066.813,
2014-01,7814.843,
2014-02,10544.187,Provisional value
2014-03,18276.813,Provisional value
2014-04,24899.356,Provisional value
2014-05,4003.213,Provisional value
2014-06,13218.205,Provisional value
2014-07,9030.963,Provisional value
2014-08,1005.412,Provisional value
2014-09,17086.627,
2014-10,14017.414,
2014-11,13499.919,
2014-12,4465.973,Provisional value
