"",BBK01.OEXJ03L,BBK01.OEXJ03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:37,
2002-01,16.437,
2002-04,16.375,
2002-07,16.837,
2002-10,16.866,
2003-01,17.010,
2003-04,16.545,
2003-07,17.375,
2003-10,18.588,
2004-01,19.717,
2004-04,20.329,
2004-07,21.851,
2004-10,22.524,
2005-01,23.066,
2005-04,22.415,
2005-07,24.306,
2005-10,23.932,
2006-01,28.411,
2006-04,29.239,
2006-07,30.452,
2006-10,30.355,
2007-01,32.020,
2007-04,33.428,
2007-07,35.353,
2007-10,37.200,
2008-01,40.250,
2008-04,36.609,
2008-07,41.055,
2008-10,44.494,
2009-01,40.699,
2009-04,36.301,
2009-07,37.593,
2009-10,39.894,
2010-01,39.140,
2010-04,39.979,
2010-07,44.005,
2010-10,66.279,
2011-01,64.321,
2011-04,64.718,
2011-07,62.882,
2011-10,65.200,
2012-01,62.711,
2012-04,60.786,
2012-07,57.745,
2012-10,57.077,
2013-01,57.503,
2013-04,56.817,
2013-07,52.033,
2013-10,52.274,
2014-01,52.977,
2014-04,51.301,
2014-07,51.319,
