"",BBSF2.M.1.P.00000.GEF01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.GEF01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Public funds / Mixed funds / Long-term debt securities / Germany,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:56,
2004-01,588,
2004-02,553,
2004-03,588,
2004-04,587,
2004-05,540,
2004-06,543,
2004-07,549,
2004-08,505,
2004-09,451,
2004-10,454,
2004-11,458,
2004-12,473,
2005-01,495,
2005-02,462,
2005-03,447,
2005-04,459,
2005-05,462,
2005-06,460,
2005-07,465,
2005-08,470,
2005-09,502,
2005-10,538,
2005-11,729,
2005-12,767,
2006-01,810,
2006-02,874,
2006-03,951,
2006-04,1013,
2006-05,1041,
2006-06,1063,
2006-07,1084,
2006-08,1100,
2006-09,1105,
2006-10,1109,
2006-11,1090,
2006-12,1056,
2007-01,1073,
2007-02,1242,
2007-03,1272,
2007-04,1225,
2007-05,1195,
2007-06,1212,
2007-07,1293,
2007-08,1398,
2007-09,1454,
2007-10,1529,
2007-11,1589,
2007-12,1690,
2008-01,1746,
2008-02,1423,
2008-03,1356,
2008-04,1323,
2008-05,1329,
2008-06,1340,
2008-07,1471,
2008-08,1441,
2008-09,1444,
2008-10,1499,
2008-11,1604,
2008-12,2033,
2009-01,2060,
2009-02,1989,
2009-03,1988,
2009-04,2218,
2009-05,2544,
2009-06,2500,
2009-07,2490,
2009-08,2516,
2009-09,2648,
2009-10,2700,
2009-11,2747,
2009-12,2734,
2010-01,2890,
2010-02,2974,
2010-03,3093,
2010-04,3286,
2010-05,3476,
2010-06,3550,
2010-07,3617,
2010-08,3811,
2010-09,3755,
2010-10,3583,
2010-11,3671,
2010-12,3973,
2011-01,3856,
2011-02,3940,
2011-03,3807,
2011-04,3741,
2011-05,3776,
2011-06,3710,
2011-07,3790,
2011-08,3712,
2011-09,3579,
2011-10,3540,
2011-11,3577,
2011-12,3568,
2012-01,3405,
2012-02,3475,
2012-03,3458,
2012-04,3570,
2012-05,3641,
2012-06,3550,
2012-07,3597,
2012-08,3652,
2012-09,3668,
2012-10,3687,
2012-11,3764,
2012-12,3809,
2013-01,3664,
2013-02,3733,
2013-03,3904,
2013-04,3904,
2013-05,3905,
2013-06,3853,
2013-07,3982,
2013-08,4053,
2013-09,4046,
2013-10,4009,
2013-11,3977,
2013-12,3977,
2014-01,4013,
2014-02,3898,
2014-03,3960,
2014-04,4022,
2014-05,4058,
2014-06,4090,
2014-07,4167,
2014-08,2508,
2014-09,2493,
2014-10,2496,
2014-11,2465,
