"",BBK01.OEHJ02M,BBK01.OEHJ02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:21,
2002-01,2.337,
2002-04,2.492,
2002-07,2.501,
2002-10,2.869,
2003-01,2.840,
2003-04,2.821,
2003-07,2.893,
2003-10,3.143,
2004-01,3.040,
2004-04,3.139,
2004-07,3.118,
2004-10,3.372,
2005-01,3.045,
2005-04,3.216,
2005-07,3.449,
2005-10,3.686,
2006-01,3.290,
2006-04,3.432,
2006-07,3.587,
2006-10,3.825,
2007-01,3.544,
2007-04,3.719,
2007-07,3.776,
2007-10,3.969,
2008-01,3.659,
2008-04,3.729,
2008-07,3.804,
2008-10,4.200,
2009-01,4.480,
2009-04,4.628,
2009-07,4.962,
2009-10,5.303,
2010-01,5.171,
2010-04,5.516,
2010-07,5.395,
2010-10,5.515,
2011-01,5.208,
2011-04,5.315,
2011-07,5.708,
2011-10,5.807,
2012-01,5.586,
2012-04,5.588,
2012-07,6.234,
2012-10,6.625,
2013-01,6.566,
2013-04,6.732,
2013-07,7.212,
2013-10,7.115,
2014-01,7.169,
2014-04,7.267,
2014-07,7.552,
