"",BBK01.OEAO01I,BBK01.OEAO01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:59,
2002-01,15.227,
2002-04,15.018,
2002-07,14.235,
2002-10,14.115,
2003-01,14.319,
2003-04,14.399,
2003-07,14.227,
2003-10,14.042,
2004-01,14.086,
2004-04,13.870,
2004-07,13.614,
2004-10,13.522,
2005-01,16.389,
2005-04,16.337,
2005-07,16.168,
2005-10,16.011,
2006-01,16.149,
2006-04,16.031,
2006-07,15.928,
2006-10,15.717,
2007-01,15.864,
2007-04,16.276,
2007-07,16.269,
2007-10,16.431,
2008-01,16.778,
2008-04,16.738,
2008-07,16.820,
2008-10,16.856,
2009-01,18.179,
2009-04,18.164,
2009-07,17.810,
2009-10,17.597,
2010-01,17.231,
2010-04,16.693,
2010-07,16.491,
2010-10,16.359,
2011-01,16.801,
2011-04,16.804,
2011-07,16.591,
2011-10,16.440,
2012-01,16.507,
2012-04,16.679,
2012-07,16.525,
2012-10,16.264,
2013-01,16.294,
2013-04,16.070,
2013-07,15.901,
2013-10,15.695,
2014-01,15.598,
2014-04,15.489,
2014-07,15.369,
