"",BBK01.OEAH09P,BBK01.OEAH09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:28,
2002-01,0.114,
2002-04,0.116,
2002-07,0.114,
2002-10,0.105,
2003-01,0.091,
2003-04,0.090,
2003-07,0.136,
2003-10,0.179,
2004-01,0.189,
2004-04,0.202,
2004-07,0.198,
2004-10,0.201,
2005-01,0.209,
2005-04,0.188,
2005-07,0.148,
2005-10,0.106,
2006-01,0.107,
2006-04,0.099,
2006-07,0.117,
2006-10,0.171,
2007-01,0.212,
2007-04,0.235,
2007-07,0.268,
2007-10,0.382,
2008-01,0.419,
2008-04,0.463,
2008-07,0.514,
2008-10,0.508,
2009-01,0.482,
2009-04,0.416,
2009-07,0.332,
2009-10,0.308,
2010-01,0.220,
2010-04,0.155,
2010-07,0.130,
2010-10,0.109,
2011-01,0.117,
2011-04,0.117,
2011-07,0.111,
2011-10,0.107,
2012-01,0.095,
2012-04,0.097,
2012-07,0.092,
2012-10,0.096,
2013-01,0.094,
2013-04,0.084,
2013-07,0.073,
2013-10,0.075,
2014-01,0.076,
2014-04,0.078,
2014-07,0.076,
