"",BBK01.WX0076,BBK01.WX0076_FLAGS
"",Zero-coupon euro swap curve / bootstrapped and interpolated / 4.0 years / end of month,
unit,,
unit multiplier,one,
last update,2015-02-02 10:29:23,
2002-01,4.613,
2002-02,4.602,
2002-03,5.002,
2002-04,4.798,
2002-05,4.893,
2002-06,4.619,
2002-07,4.346,
2002-08,4.112,
2002-09,3.719,
2002-10,3.826,
2002-11,3.837,
2002-12,3.441,
2003-01,3.296,
2003-02,3.002,
2003-03,3.197,
2003-04,3.202,
2003-05,2.792,
2003-06,2.845,
2003-07,3.357,
2003-08,3.441,
2003-09,3.116,
2003-10,3.542,
2003-11,3.713,
2003-12,3.476,
2004-01,3.400,
2004-02,3.104,
2004-03,2.959,
2004-04,3.307,
2004-05,3.538,
2004-06,3.544,
2004-07,3.446,
2004-08,3.209,
2004-09,3.224,
2004-10,3.075,
2004-11,2.974,
2004-12,3.006,
2005-01,2.912,
2005-02,3.083,
2005-03,3.002,
2005-04,2.770,
2005-05,2.629,
2005-06,2.451,Corrected value
2005-07,2.662,
2005-08,2.570,
2005-09,2.740,
2005-10,3.024,
2005-11,3.131,
2005-12,3.149,
2006-01,3.321,
2006-02,3.377,
2006-03,3.710,
2006-04,3.822,
2006-05,3.821,
2006-06,3.976,
2006-07,3.859,
2006-08,3.759,
2006-09,3.802,
2006-10,3.851,
2006-11,3.827,
2006-12,4.115,
2007-01,4.208,
2007-02,4.074,
2007-03,4.203,
2007-04,4.305,
2007-05,4.615,
2007-06,4.756,
2007-07,4.624,
2007-08,4.518,
2007-09,4.516,
2007-10,4.529,
2007-11,4.389,
2007-12,4.520,
2008-01,3.983,
2008-02,3.846,
2008-03,4.130,
2008-04,4.374,
2008-05,4.766,
2008-06,5.188,
2008-07,4.860,
2008-08,4.687,
2008-09,4.634,
2008-10,3.935,
2008-11,3.359,
2008-12,3.110,
2009-01,2.807,
2009-02,2.607,
2009-03,2.435,
2009-04,2.450,
2009-05,2.546,
2009-06,2.603,
2009-07,2.521,
2009-08,2.509,
2009-09,2.448,
2009-10,2.536,
2009-11,2.434,
2009-12,2.558,
2010-01,2.339,
2010-02,2.161,
2010-03,2.120,
2010-04,2.042,
2010-05,1.864,
2010-06,1.831,
2010-07,1.906,
2010-08,1.532,
2010-09,1.792,
2010-10,1.976,
2010-11,2.046,
2010-12,2.186,
2011-01,2.629,
2011-02,2.634,
2011-03,2.916,
2011-04,2.851,
2011-05,2.595,
2011-06,2.625,
2011-07,2.281,
2011-08,1.963,
2011-09,1.760,
2011-10,1.796,
2011-11,1.808,
2011-12,1.525,
2012-01,1.328,
2012-02,1.359,
2012-03,1.391,
2012-04,1.215,
2012-05,1.024,
2012-06,1.106,
2012-07,0.827,
2012-08,0.733,
2012-09,0.732,
2012-10,0.748,
2012-11,0.653,
2012-12,0.596,
2013-01,1.008,
2013-02,0.731,
2013-03,0.735,
2013-04,0.581,
2013-05,0.768,
2013-06,1.018,
2013-07,0.920,
2013-08,1.115,
2013-09,0.972,
2013-10,0.863,
2013-11,0.810,
2013-12,1.007,
2014-01,0.800,
2014-02,0.813,
2014-03,0.797,
2014-04,0.742,
2014-05,0.597,
2014-06,0.483,
2014-07,0.496,
2014-08,0.378,
2014-09,0.331,
2014-10,0.343,
2014-11,0.324,
2014-12,0.284,
2015-01,0.248,
