"",BBK01.OXA7D1,BBK01.OXA7D1_FLAGS
"","Stocks of loans to domestic households (including bills of exchange), traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:26,
2009-12,63.668,
2010-01,64.068,
2010-02,63.188,
2010-03,62.289,
2010-04,61.313,
2010-05,60.435,
2010-06,59.999,
2010-07,59.516,
2010-08,58.640,
2010-09,57.694,
2010-10,57.602,
2010-11,58.736,
2010-12,57.580,
2011-01,56.039,
2011-02,55.277,
2011-03,54.399,
2011-04,54.027,
2011-05,53.110,
2011-06,52.332,
2011-07,52.230,
2011-08,55.280,
2011-09,54.663,
2011-10,53.771,
2011-11,54.426,
2011-12,53.655,
2012-01,52.814,
2012-02,51.915,
2012-03,51.017,
2012-04,50.284,
2012-05,49.128,
2012-06,48.246,
2012-07,47.741,
2012-08,46.901,
2012-09,45.788,
2012-10,44.799,
2012-11,45.079,
2012-12,44.426,
2013-01,43.579,
2013-02,42.778,
2013-03,44.468,
2013-04,43.459,
2013-05,42.678,
2013-06,44.232,
2013-07,44.318,
2013-08,43.220,
2013-09,42.053,
2013-10,41.742,
2013-11,42.251,
2013-12,41.335,
2014-01,40.692,
2014-02,39.422,
2014-03,41.189,
2014-04,42.789,
2014-05,43.059,
2014-06,42.189,
2014-07,41.326,
2014-08,41.758,
2014-09,42.627,
2014-10,44.957,
2014-11,44.452,
2014-12,43.032,Provisional value
