"",BBK01.OECB23N,BBK01.OECB23N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:55,
2002-01,0.098,
2002-04,0.055,
2002-07,0.049,
2002-10,0.047,
2003-01,0.039,
2003-04,0.026,
2003-07,0.023,
2003-10,0.024,
2004-01,0.024,
2004-04,0.022,
2004-07,0.030,
2004-10,0.067,
2005-01,0.374,
2005-04,0.350,
2005-07,0.355,
2005-10,0.354,
2006-01,0.359,
2006-04,0.341,
2006-07,0.336,
2006-10,0.334,
2007-01,0.341,
2007-04,0.378,
2007-07,0.477,
2007-10,0.514,
2008-01,1.029,
2008-04,1.019,
2008-07,0.892,
2008-10,0.963,
2009-01,0.865,
2009-04,0.921,
2009-07,0.904,
2009-10,0.883,
2010-01,0.402,
2010-04,0.506,
2010-07,0.596,
2010-10,0.649,
2011-01,0.669,
2011-04,0.681,
2011-07,0.687,
2011-10,0.879,
2012-01,0.775,
2012-04,0.819,
2012-07,0.804,
2012-10,0.754,
2013-01,0.881,
2013-04,1.113,
2013-07,1.222,
2013-10,1.276,
2014-01,1.432,
2014-04,1.459,
2014-07,1.546,
