"",BBK01.OEBI08O,BBK01.OEBI08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:02,
2002-01,-23.850,
2002-04,-24.452,
2002-07,-24.776,
2002-10,-27.649,
2003-01,-29.094,
2003-04,-29.460,
2003-07,-29.980,
2003-10,-32.159,
2004-01,-33.311,
2004-04,-33.665,
2004-07,-33.664,
2004-10,-34.439,
2005-01,2.794,
2005-04,2.797,
2005-07,2.736,
2005-10,2.719,
2006-01,2.657,
2006-04,2.572,
2006-07,2.469,
2006-10,2.441,
2007-01,2.470,
2007-04,2.445,
2007-07,2.393,
2007-10,2.436,
2008-01,2.441,
2008-04,2.486,
2008-07,2.409,
2008-10,2.400,
2009-01,2.462,
2009-04,2.598,
2009-07,2.791,
2009-10,2.960,
2010-01,3.020,
2010-04,2.967,
2010-07,2.993,
2010-10,3.049,
2011-01,2.995,
2011-04,2.885,
2011-07,2.857,
2011-10,2.874,
2012-01,3.117,
2012-04,3.053,
2012-07,3.050,
2012-10,3.137,
2013-01,3.075,
2013-04,3.054,
2013-07,2.969,
2013-10,2.946,
2014-01,2.887,
2014-04,2.836,
2014-07,2.887,
