"",BBK01.OEAH63I,BBK01.OEAH63I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:42,
2002-01,3.764,
2002-04,3.567,
2002-07,3.583,
2002-10,3.528,
2003-01,3.539,
2003-04,3.428,
2003-07,3.359,
2003-10,2.481,
2004-01,2.504,
2004-04,2.176,
2004-07,2.194,
2004-10,1.640,
2005-01,1.835,
2005-04,0.670,
2005-07,0.691,
2005-10,0.627,
2006-01,0.613,
2006-04,0.611,
2006-07,0.590,
2006-10,0.588,
2007-01,0.553,
2007-04,0.534,
2007-07,0.561,
2007-10,0.515,
2008-01,0.542,
2008-04,0.524,
2008-07,0.503,
2008-10,0.544,
2009-01,0.954,
2009-04,0.552,
2009-07,0.573,
2009-10,0.632,
2010-01,0.681,
2010-04,0.667,
2010-07,0.691,
2010-10,0.743,
2011-01,1.226,
2011-04,1.532,
2011-07,1.657,
2011-10,2.204,
2012-01,2.746,
2012-04,2.835,
2012-07,2.835,
2012-10,2.859,
2013-01,2.853,
2013-04,2.868,
2013-07,2.894,
2013-10,2.861,
2014-01,2.850,
2014-04,2.997,
2014-07,3.127,
