"",BBK01.OEAC15K,BBK01.OEAC15K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:11,
2002-01,1.694,
2002-04,1.692,
2002-07,1.685,
2002-10,1.653,
2003-01,1.495,
2003-04,1.329,
2003-07,1.506,
2003-10,1.267,
2004-01,1.239,
2004-04,2.340,
2004-07,1.865,
2004-10,1.731,
2005-01,1.786,
2005-04,1.748,
2005-07,1.797,
2005-10,1.658,
2006-01,1.679,
2006-04,1.784,
2006-07,1.767,
2006-10,1.631,
2007-01,1.576,
2007-04,1.602,
2007-07,1.627,
2007-10,1.592,
2008-01,1.674,
2008-04,1.984,
2008-07,1.992,
2008-10,2.146,
2009-01,2.145,
2009-04,2.234,
2009-07,2.240,
2009-10,2.216,
2010-01,1.698,
2010-04,1.563,
2010-07,1.760,
2010-10,1.708,
2011-01,1.713,
2011-04,1.811,
2011-07,1.808,
2011-10,1.739,
2012-01,1.683,
2012-04,1.676,
2012-07,1.692,
2012-10,1.624,
2013-01,1.655,
2013-04,1.631,
2013-07,1.581,
2013-10,1.526,
2014-01,1.500,
2014-04,1.484,
2014-07,1.451,
