"",BBK01.OEAA32I,BBK01.OEAA32I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:19,
2002-01,0.169,
2002-04,0.170,
2002-07,0.156,
2002-10,0.156,
2003-01,0.155,
2003-04,0.153,
2003-07,0.157,
2003-10,0.169,
2004-01,0.167,
2004-04,0.167,
2004-07,0.201,
2004-10,0.208,
2005-01,0.209,
2005-04,0.205,
2005-07,0.205,
2005-10,0.197,
2006-01,0.140,
2006-04,0.329,
2006-07,0.321,
2006-10,0.318,
2007-01,0.316,
2007-04,0.294,
2007-07,0.258,
2007-10,0.256,
2008-01,0.213,
2008-04,0.184,
2008-07,0.171,
2008-10,0.169,
2009-01,0.108,
2009-04,0.102,
2009-07,0.097,
2009-10,0.093,
2010-01,0.080,
2010-04,0.072,
2010-07,0.070,
2010-10,0.069,
2011-01,0.060,
2011-04,0.031,
2011-07,0.028,
2011-10,0.022,
2012-01,0.013,
2012-04,0.008,
2012-07,0.007,
2012-10,0.007,
2013-01,0.006,
2013-04,0.008,
2013-07,0.008,
2013-10,0.006,
2014-01,0.005,
2014-04,0.005,
2014-07,0.004,
