"",BBK01.OEAF08H,BBK01.OEAF08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:56,
2002-01,2.448,
2002-04,2.460,
2002-07,2.481,
2002-10,2.444,
2003-01,2.470,
2003-04,2.475,
2003-07,2.405,
2003-10,2.242,
2004-01,2.257,
2004-04,2.264,
2004-07,2.347,
2004-10,2.099,
2005-01,2.140,
2005-04,2.105,
2005-07,2.056,
2005-10,1.987,
2006-01,2.055,
2006-04,2.088,
2006-07,2.081,
2006-10,2.066,
2007-01,2.173,
2007-04,2.110,
2007-07,2.030,
2007-10,1.972,
2008-01,1.971,
2008-04,1.927,
2008-07,1.889,
2008-10,1.874,
2009-01,1.875,
2009-04,1.670,
2009-07,1.669,
2009-10,1.632,
2010-01,1.599,
2010-04,1.598,
2010-07,1.696,
2010-10,1.694,
2011-01,1.733,
2011-04,1.731,
2011-07,1.715,
2011-10,1.754,
2012-01,1.793,
2012-04,1.849,
2012-07,1.980,
2012-10,1.813,
2013-01,1.845,
2013-04,1.873,
2013-07,1.867,
2013-10,1.881,
2014-01,1.818,
2014-04,1.824,
2014-07,1.861,
