"",BBFB1.Q.N.DE.W1.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:59,
1999-01,3549.828,
1999-04,4281.178,
1999-07,4946.026,
1999-10,4370.500,
2000-01,4151.798,
2000-04,5116.725,
2000-07,5801.247,
2000-10,5169.715,
2001-01,4451.546,
2001-04,5129.044,
2001-07,5632.042,
2001-10,4951.824,
2002-01,4323.282,
2002-04,5199.470,
2002-07,5796.895,
2002-10,5030.651,
2003-01,4314.295,
2003-04,5143.107,
2003-07,5860.603,
2003-10,5107.733,
2004-01,4708.888,
2004-04,5642.767,
2004-07,6338.064,
2004-10,5552.977,
2005-01,4916.253,
2005-04,6071.416,
2005-07,6660.357,
2005-10,5800.726,
2006-01,5060.344,
2006-04,7209.501,
2006-07,7370.158,
2006-10,6483.989,
2007-01,5440.569,
2007-04,6694.279,
2007-07,7670.277,
2007-10,6490.445,
2008-01,5552.971,
2008-04,6951.534,
2008-07,7804.965,
2008-10,6827.103,
2009-01,5103.499,
2009-04,6291.903,
2009-07,7301.723,
2009-10,6144.970,
2010-01,5164.088,
2010-04,6531.314,
2010-07,7872.947,
2010-10,6590.690,
2011-01,5542.821,
2011-04,6885.727,
2011-07,8338.409,
2011-10,7163.485,
2012-01,6127.071,
2012-04,7403.734,
2012-07,8809.570,
2012-10,7342.313,
2013-01,6444.105,
2013-04,7714.197,
2013-07,9081.510,
2013-10,7790.197,
2014-01,6587.190,Provisional value
2014-04,8073.404,Provisional value
2014-07,9587.010,Provisional value
2014-10,8091.669,Provisional value
