"",BBK01.OEAF03U,BBK01.OEAF03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:16,
2002-01,5.578,
2002-04,5.609,
2002-07,5.660,
2002-10,5.691,
2003-01,5.672,
2003-04,5.710,
2003-07,5.696,
2003-10,5.606,
2004-01,5.503,
2004-04,5.687,
2004-07,5.716,
2004-10,5.807,
2005-01,6.253,
2005-04,6.294,
2005-07,6.347,
2005-10,6.285,
2006-01,6.253,
2006-04,6.282,
2006-07,6.315,
2006-10,6.343,
2007-01,6.342,
2007-04,6.381,
2007-07,6.383,
2007-10,6.488,
2008-01,6.213,
2008-04,6.129,
2008-07,6.127,
2008-10,6.116,
2009-01,6.059,
2009-04,6.501,
2009-07,6.554,
2009-10,6.305,
2010-01,6.536,
2010-04,6.560,
2010-07,6.596,
2010-10,6.598,
2011-01,6.590,
2011-04,6.616,
2011-07,6.666,
2011-10,6.696,
2012-01,6.692,
2012-04,6.788,
2012-07,6.893,
2012-10,6.963,
2013-01,6.999,
2013-04,7.073,
2013-07,7.192,
2013-10,7.268,
2014-01,7.298,
2014-04,7.309,
2014-07,7.438,
