"",BBK01.OEAC04S,BBK01.OEAC04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:55,
2002-01,0.885,
2002-04,0.882,
2002-07,0.872,
2002-10,0.837,
2003-01,0.831,
2003-04,0.829,
2003-07,0.816,
2003-10,0.771,
2004-01,0.776,
2004-04,0.765,
2004-07,0.749,
2004-10,0.689,
2005-01,0.707,
2005-04,0.685,
2005-07,0.668,
2005-10,0.638,
2006-01,0.644,
2006-04,0.634,
2006-07,0.617,
2006-10,0.583,
2007-01,0.602,
2007-04,0.584,
2007-07,0.591,
2007-10,0.581,
2008-01,0.599,
2008-04,0.593,
2008-07,0.592,
2008-10,0.587,
2009-01,0.643,
2009-04,0.611,
2009-07,0.618,
2009-10,0.572,
2010-01,0.643,
2010-04,0.657,
2010-07,0.661,
2010-10,0.647,
2011-01,0.656,
2011-04,0.655,
2011-07,0.643,
2011-10,0.633,
2012-01,0.648,
2012-04,0.655,
2012-07,0.661,
2012-10,0.646,
2013-01,0.668,
2013-04,0.675,
2013-07,0.664,
2013-10,0.688,
2014-01,0.704,
2014-04,0.718,
2014-07,0.721,
