"",BBK01.OEAE06V,BBK01.OEAE06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:34,
2002-01,1.931,
2002-04,1.947,
2002-07,1.938,
2002-10,1.894,
2003-01,1.849,
2003-04,1.869,
2003-07,1.820,
2003-10,1.887,
2004-01,1.728,
2004-04,1.711,
2004-07,1.769,
2004-10,1.737,
2005-01,1.706,
2005-04,1.781,
2005-07,1.983,
2005-10,1.776,
2006-01,1.743,
2006-04,1.771,
2006-07,1.757,
2006-10,1.673,
2007-01,1.659,
2007-04,1.632,
2007-07,1.573,
2007-10,1.540,
2008-01,1.591,
2008-04,1.633,
2008-07,1.632,
2008-10,1.648,
2009-01,1.499,
2009-04,1.530,
2009-07,1.538,
2009-10,1.447,
2010-01,1.443,
2010-04,1.497,
2010-07,1.472,
2010-10,1.445,
2011-01,1.460,
2011-04,1.478,
2011-07,1.492,
2011-10,1.461,
2012-01,1.456,
2012-04,1.511,
2012-07,1.517,
2012-10,1.546,
2013-01,1.574,
2013-04,1.588,
2013-07,1.637,
2013-10,1.645,
2014-01,1.633,
2014-04,1.769,
2014-07,1.779,
