"",BBK01.OEBI06S,BBK01.OEBI06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:50,
2002-01,0.045,
2002-04,0.042,
2002-07,0.038,
2002-10,0.032,
2003-01,0.026,
2003-04,0.023,
2003-07,0.018,
2003-10,0.018,
2004-01,0.017,
2004-04,0.015,
2004-07,0.012,
2004-10,0.012,
2005-01,0.012,
2005-04,0.012,
2005-07,0.011,
2005-10,0.010,
2006-01,0.011,
2006-04,0.010,
2006-07,0.012,
2006-10,0.012,
2007-01,0.012,
2007-04,0.012,
2007-07,0.011,
2007-10,0.014,
2008-01,0.017,
2008-04,0.020,
2008-07,0.023,
2008-10,0.026,
2009-01,0.030,
2009-04,0.023,
2009-07,0.020,
2009-10,0.018,
2010-01,0.021,
2010-04,0.025,
2010-07,0.028,
2010-10,0.030,
2011-01,0.032,
2011-04,0.049,
2011-07,0.055,
2011-10,0.116,
2012-01,0.119,
2012-04,0.123,
2012-07,0.123,
2012-10,0.109,
2013-01,0.094,
2013-04,0.104,
2013-07,0.134,
2013-10,0.160,
2014-01,0.194,
2014-04,0.256,
2014-07,0.313,
