"",BBK01.OELJ02N,BBK01.OELJ02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:24,
2002-01,3.907,
2002-04,4.160,
2002-07,4.093,
2002-10,4.213,
2003-01,4.340,
2003-04,4.526,
2003-07,4.738,
2003-10,5.030,
2004-01,5.027,
2004-04,5.352,
2004-07,5.386,
2004-10,5.487,
2005-01,5.573,
2005-04,6.006,
2005-07,5.925,
2005-10,5.978,
2006-01,5.796,
2006-04,5.954,
2006-07,5.979,
2006-10,5.991,
2007-01,6.261,
2007-04,6.553,
2007-07,6.733,
2007-10,6.663,
2008-01,6.855,
2008-04,6.812,
2008-07,6.923,
2008-10,7.103,
2009-01,7.613,
2009-04,8.202,
2009-07,9.080,
2009-10,9.440,
2010-01,10.340,
2010-04,10.759,
2010-07,10.703,
2010-10,10.143,
2011-01,10.593,
2011-04,10.724,
2011-07,10.989,
2011-10,10.716,
2012-01,11.270,
2012-04,11.644,
2012-07,12.543,
2012-10,12.685,
2013-01,13.320,
2013-04,13.423,
2013-07,13.888,
2013-10,14.039,
2014-01,14.212,
2014-04,14.558,
2014-07,15.733,
