"",BBK01.OEBB04V,BBK01.OEBB04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:10,
2002-01,13.418,
2002-04,13.522,
2002-07,13.713,
2002-10,13.619,
2003-01,13.492,
2003-04,13.362,
2003-07,13.365,
2003-10,13.351,
2004-01,13.335,
2004-04,13.327,
2004-07,13.397,
2004-10,13.093,
2005-01,14.215,
2005-04,14.173,
2005-07,14.220,
2005-10,14.147,
2006-01,14.106,
2006-04,14.108,
2006-07,14.117,
2006-10,14.272,
2007-01,14.232,
2007-04,14.229,
2007-07,14.269,
2007-10,14.574,
2008-01,14.280,
2008-04,14.321,
2008-07,14.348,
2008-10,14.450,
2009-01,14.471,
2009-04,18.043,
2009-07,17.852,
2009-10,17.903,
2010-01,17.836,
2010-04,17.724,
2010-07,16.015,
2010-10,16.038,
2011-01,16.653,
2011-04,16.597,
2011-07,16.594,
2011-10,16.538,
2012-01,16.525,
2012-04,16.618,
2012-07,16.573,
2012-10,16.687,
2013-01,16.743,
2013-04,16.699,
2013-07,16.656,
2013-10,16.970,
2014-01,17.169,
2014-04,17.805,
2014-07,17.843,
