"",BBK01.CEB03Q,BBK01.CEB03Q_FLAGS
"",Liabilities debtor: Monetary financial institutions                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:15:08,
1991-01,2169.3,
1991-04,2203.9,
1991-07,2221.3,
1991-10,2307.5,
1992-01,2362.0,
1992-04,2388.5,
1992-07,2448.2,
1992-10,2528.0,
1993-01,2600.2,
1993-04,2646.8,
1993-07,2714.3,
1993-10,2872.7,
1994-01,2860.8,
1994-04,2855.7,
1994-07,2868.2,
1994-10,2964.3,
1995-01,3002.6,
1995-04,3079.0,
1995-07,3157.8,
1995-10,3284.3,
1996-01,3342.0,
1996-04,3388.2,
1996-07,3442.4,
1996-10,3591.6,
1997-01,3710.6,
1997-04,3782.0,
1997-07,3862.7,
1997-10,3976.2,
1998-01,4085.3,
1998-04,4216.6,
1998-07,4206.1,
1998-10,4409.4,
1999-01,4528.5,
1999-04,4566.0,
1999-07,4585.1,
1999-10,4752.6,
2000-01,4876.4,
2000-04,4920.3,
2000-07,5000.2,
2000-10,5047.6,
2001-01,5262.0,
2001-04,5246.6,
2001-07,5223.2,
2001-10,5254.4,
2002-01,5269.0,
2002-04,5251.5,
2002-07,5287.4,
2002-10,5300.2,
2003-01,5396.3,
2003-04,5474.3,
2003-07,5420.5,
2003-10,5421.7,
2004-01,5580.0,
2004-04,5536.8,
2004-07,5615.4,
2004-10,5666.1,
2005-01,5780.9,
2005-04,5914.4,
2005-07,5972.6,
2005-10,5919.2,
2006-01,6053.4,
2006-04,6059.1,
2006-07,6124.6,
2006-10,6152.5,
2007-01,6265.2,
2007-04,6332.2,
2007-07,6416.6,
2007-10,6462.8,
2008-01,6562.3,
2008-04,6511.2,
2008-07,6616.5,
2008-10,6533.2,
2009-01,6564.0,
2009-04,6519.6,
2009-07,6494.5,
2009-10,6431.7,
2010-01,6503.1,
2010-04,6658.7,
2010-07,6563.0,
2010-10,6314.5,
2011-01,6208.4,
2011-04,6232.3,
2011-07,6368.2,
2011-10,6356.4,
2012-01,6583.1,
2012-04,6672.1,
2012-07,6673.5,
2012-10,6548.2,
2013-01,6485.8,
2013-04,6436.5,
2013-07,6319.3,
2013-10,6250.4,
2014-01,6241.0,
