"",BBK01.OECB21I,BBK01.OECB21I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:05,
2002-01,0.647,
2002-04,0.638,
2002-07,0.625,
2002-10,0.608,
2003-01,0.600,
2003-04,0.599,
2003-07,0.589,
2003-10,0.564,
2004-01,0.562,
2004-04,0.555,
2004-07,0.544,
2004-10,0.493,
2005-01,1.614,
2005-04,1.274,
2005-07,1.278,
2005-10,1.186,
2006-01,1.004,
2006-04,0.906,
2006-07,0.714,
2006-10,0.633,
2007-01,0.634,
2007-04,0.632,
2007-07,0.611,
2007-10,0.606,
2008-01,0.577,
2008-04,0.542,
2008-07,0.491,
2008-10,0.451,
2009-01,0.393,
2009-04,0.374,
2009-07,0.364,
2009-10,0.344,
2010-01,0.310,
2010-04,0.303,
2010-07,0.852,
2010-10,0.851,
2011-01,0.819,
2011-04,0.742,
2011-07,0.733,
2011-10,0.714,
2012-01,0.703,
2012-04,0.715,
2012-07,0.764,
2012-10,0.738,
2013-01,0.211,
2013-04,0.804,
2013-07,0.439,
2013-10,0.164,
2014-01,0.174,
2014-04,0.161,
2014-07,0.151,
